image,ssim_k16,bytes_k16,ssim_k32,bytes_k32,ssim_k64,bytes_k64,ssim_k128,bytes_k128,ssim_k256,bytes_k256,Kstar,ssim_adaptive,bytes_adaptive
kodim01.png,0.9433,118764.0,0.9708,164102.0,0.9807,202103.0,0.988,244705.0,0.9924,298852.0,32,0.9708,164102.0
kodim02.png,0.9156,99715.0,0.949,136718.0,0.9734,189644.0,0.985,238478.0,0.9917,301718.0,64,0.9734,189644.0
kodim03.png,0.8363,45826.0,0.879,55061.0,0.9177,75690.0,0.9504,109871.0,0.9694,144758.0,128,0.9504,109871.0
kodim04.png,0.8244,73755.0,0.8904,94548.0,0.9366,131144.0,0.9575,168372.0,0.9735,218958.0,128,0.9575,168372.0
kodim05.png,0.8756,113902.0,0.9268,138285.0,0.9519,172097.0,0.9681,208448.0,0.9799,260201.0,64,0.9519,172097.0
kodim06.png,0.9133,94477.0,0.9452,114914.0,0.9657,147856.0,0.9784,193004.0,0.9862,243434.0,64,0.9657,147856.0
kodim07.png,0.8852,64748.0,0.9259,81559.0,0.9533,109627.0,0.9709,149009.0,0.9814,198373.0,64,0.9533,109627.0
kodim08.png,0.912,105884.0,0.9421,143045.0,0.9667,184676.0,0.9789,227825.0,0.9867,288208.0,64,0.9667,184676.0
kodim09.png,0.8932,70283.0,0.9377,95201.0,0.9589,131671.0,0.9711,170137.0,0.9816,221649.0,64,0.9589,131671.0
kodim10.png,0.8795,74532.0,0.9209,100433.0,0.9467,131728.0,0.9673,178309.0,0.9803,229922.0,128,0.9673,178309.0
kodim11.png,0.8828,77814.0,0.9308,105410.0,0.9552,139353.0,0.9742,181338.0,0.9838,226198.0,64,0.9552,139353.0
kodim12.png,0.8505,63192.0,0.9098,78979.0,0.9506,114465.0,0.9672,154452.0,0.9786,193397.0,64,0.9506,114465.0
kodim13.png,0.9435,140813.0,0.9613,172261.0,0.9751,208304.0,0.9844,254095.0,0.9899,307420.0,32,0.9613,172261.0
kodim14.png,0.854,96350.0,0.9172,116124.0,0.952,155185.0,0.9668,196564.0,0.9794,245707.0,64,0.952,155185.0
kodim15.png,0.8275,57118.0,0.8869,85701.0,0.9288,116262.0,0.9514,150920.0,0.9686,198239.0,128,0.9514,150920.0
kodim16.png,0.8922,73818.0,0.9461,95521.0,0.9691,129803.0,0.9809,171210.0,0.9879,217789.0,64,0.9691,129803.0
kodim17.png,0.8837,76280.0,0.9452,112354.0,0.9647,149888.0,0.9778,195246.0,0.986,249174.0,64,0.9647,149888.0
kodim18.png,0.8686,108208.0,0.912,131716.0,0.945,175828.0,0.9653,221978.0,0.9764,275289.0,128,0.9653,221978.0
kodim19.png,0.8883,86070.0,0.9338,111600.0,0.9596,144737.0,0.9733,188387.0,0.9832,241098.0,64,0.9596,144737.0
kodim20.png,0.9076,60594.0,0.9435,84053.0,0.9666,114589.0,0.9808,150593.0,0.9873,187325.0,64,0.9666,114589.0
kodim21.png,0.8878,81595.0,0.9305,102468.0,0.9532,139331.0,0.9711,182471.0,0.9824,234101.0,64,0.9532,139331.0
kodim22.png,0.8451,86215.0,0.8883,113624.0,0.9284,152230.0,0.9514,195422.0,0.967,249818.0,128,0.9514,195422.0
kodim23.png,0.7813,42806.0,0.8165,56580.0,0.8639,79374.0,0.9019,107045.0,0.9345,145125.0,256,0.9345,145125.0
kodim24.png,0.9213,100611.0,0.9377,127861.0,0.9608,164361.0,0.9738,206258.0,0.983,255870.0,64,0.9608,164361.0
