method,n_colors,psnr,ssim,time_ms,png_bytes
fast,16,24.838,0.778,6.425,72869.542
fast,32,27.424,0.815,5.988,87920.625
fast,64,30.831,0.888,5.817,138634.875
fast,128,34.144,0.93,5.983,164198.375
fast,256,36.196,0.947,6.204,175892.458
kmeans,16,30.214,0.88,488.358,83890.417
kmeans,32,33.214,0.923,669.367,109088.25
kmeans,64,35.851,0.951,1060.304,144164.417
kmeans,128,38.255,0.968,1799.633,185172.375
kmeans,256,40.479,0.98,3604.767,234692.625
maxcoverage,16,22.776,0.687,50.025,64230.958
maxcoverage,32,25.786,0.765,58.225,74858.333
maxcoverage,64,28.469,0.808,80.058,98193.458
maxcoverage,128,31.315,0.863,122.867,123627.417
maxcoverage,256,33.922,0.903,197.375,156162.458
mediancut,16,27.184,0.876,117.042,98439.208
mediancut,32,29.676,0.914,126.15,126693.5
mediancut,64,32.071,0.941,121.142,163498.292
mediancut,128,34.485,0.96,128.8,206637.875
mediancut,256,36.881,0.974,142.942,257756.375
pw_lab,16,28.319,0.838,1201.321,76632.792
pw_lab,32,30.744,0.886,2138.9,99340.042
pw_lab,64,33.046,0.921,4235.858,134688.458
pw_lab,128,35.156,0.946,7988.917,177335.583
pw_lab,256,37.061,0.963,15631.804,228994.583
pw_lab_now,16,28.327,0.839,1199.917,76724.875
pw_lab_now,32,30.733,0.886,2145.487,99373.167
pw_lab_now,64,33.014,0.921,4074.513,134843.958
pw_lab_now,128,35.15,0.946,8074.096,177439.042
pw_lab_now,256,37.065,0.963,15720.404,229080.25
pw_rgb_w,16,29.764,0.885,1098.817,90082.167
pw_rgb_w,32,32.471,0.924,2014.179,117566.292
pw_rgb_w,64,34.962,0.95,3973.004,154053.333
pw_rgb_w,128,37.173,0.967,7917.242,198165.0
pw_rgb_w,256,39.256,0.979,15427.863,250161.417
som,16,22.47,0.829,332.879,93747.833
som,32,22.629,0.852,729.254,125200.667
som,64,22.756,0.865,1425.867,168073.5
som,128,22.964,0.872,2728.975,217878.625
som,256,22.757,0.866,5615.971,257668.917
