method,n_colors,psnr_mean,psnr_std,ssim_mean,ssim_std,time_mean,time_std,bytes_mean,bytes_std
fast,16,24.838,2.243,0.778,0.052,6.425,1.629,72869.542,21189.582
fast,32,27.424,1.814,0.815,0.054,5.988,1.535,87920.625,28530.213
fast,64,30.831,2.29,0.888,0.042,5.817,1.909,138634.875,31014.841
fast,128,34.144,2.242,0.93,0.03,5.983,0.935,164198.375,36127.129
fast,256,36.196,1.399,0.947,0.019,6.204,1.833,175892.458,39388.068
kmeans,16,30.214,1.829,0.88,0.039,488.358,520.096,83890.417,23781.409
kmeans,32,33.214,2.013,0.923,0.033,669.367,330.154,109088.25,29493.162
kmeans,64,35.851,2.063,0.951,0.024,1060.304,243.332,144164.417,34231.95
kmeans,128,38.255,2.107,0.968,0.018,1799.633,323.611,185172.375,37804.544
kmeans,256,40.479,2.135,0.98,0.012,3604.767,733.457,234692.625,43585.386
maxcoverage,16,22.776,2.029,0.687,0.075,50.025,14.406,64230.958,19926.428
maxcoverage,32,25.786,1.878,0.765,0.058,58.225,17.892,74858.333,23654.384
maxcoverage,64,28.469,2.069,0.808,0.056,80.058,34.31,98193.458,27172.398
maxcoverage,128,31.315,1.728,0.863,0.044,122.867,52.872,123627.417,34389.486
maxcoverage,256,33.922,1.797,0.903,0.034,197.375,104.001,156162.458,39337.985
mediancut,16,27.184,2.315,0.876,0.042,117.042,46.096,98439.208,25080.417
mediancut,32,29.676,2.142,0.914,0.036,126.15,52.423,126693.5,31383.7
mediancut,64,32.071,2.163,0.941,0.028,121.142,53.227,163498.292,34303.013
mediancut,128,34.485,2.08,0.96,0.022,128.8,54.32,206637.875,37857.495
mediancut,256,36.881,2.099,0.974,0.015,142.942,60.407,257756.375,41035.609
som,16,22.47,1.449,0.829,0.033,332.879,52.379,93747.833,24791.324
som,32,22.629,1.547,0.852,0.029,729.254,189.616,125200.667,30280.935
som,64,22.756,1.745,0.865,0.028,1425.867,193.605,168073.5,32428.084
som,128,22.964,1.685,0.872,0.033,2728.975,419.126,217878.625,32888.154
som,256,22.757,1.685,0.866,0.026,5615.971,925.916,257668.917,34421.209
