image,K_iter,dE00_iter,bytes_iter,psnr_iter
101085.jpg,64,2.226,81870,32.23
101087.jpg,64,1.936,39034,31.9
102061.jpg,64,2.188,43215,32.22
103070.jpg,64,2.239,56814,33.84
105025.jpg,128,2.061,76045,33.51
106024.jpg,32,1.954,30277,33.93
108005.jpg,128,2.16,90413,33.25
108070.jpg,128,2.033,110740,32.99
108082.jpg,32,2.456,55498,31.55
109053.jpg,64,2.195,64811,33.84
119082.jpg,64,2.387,50342,32.36
12084.jpg,128,2.44,98614,32.12
123074.jpg,64,2.184,64202,34.7
126007.jpg,64,1.948,47141,32.77
130026.jpg,64,2.164,72029,33.4
134035.jpg,32,2.127,67026,33.96
14037.jpg,16,2.166,21801,32.02
143090.jpg,16,2.473,21886,30.62
145086.jpg,64,2.037,53494,32.89
147091.jpg,32,2.129,42720,30.04
148026.jpg,64,2.475,68230,30.99
148089.jpg,64,1.987,81746,33.81
156065.jpg,128,2.233,89596,32.79
157055.jpg,128,2.284,65713,32.16
159008.jpg,32,2.328,50624,31.87
160068.jpg,16,2.341,30147,31.31
16077.jpg,64,2.245,63210,32.85
163085.jpg,32,2.404,47067,32.75
167062.jpg,16,1.26,28603,34.91
167083.jpg,64,2.045,78029,33.71
170057.jpg,32,2.43,52423,31.69
175032.jpg,64,2.322,100599,33.34
175043.jpg,64,2.042,87584,34.31
182053.jpg,32,2.161,41820,32.44
189080.jpg,32,1.822,30656,34.0
19021.jpg,64,2.41,64667,31.83
196073.jpg,16,1.208,71164,37.75
197017.jpg,64,2.221,54739,33.46
208001.jpg,128,2.14,78715,32.99
210088.jpg,64,2.139,53533,31.68
21077.jpg,64,2.033,60475,33.77
216081.jpg,64,2.304,59227,31.68
219090.jpg,32,2.153,41261,33.33
220075.jpg,128,2.194,63847,32.99
223061.jpg,16,2.292,42774,32.1
227092.jpg,16,2.271,24676,33.8
229036.jpg,64,2.239,80192,32.77
236037.jpg,128,2.175,104499,33.99
24077.jpg,128,2.151,67783,32.37
241004.jpg,16,2.038,26455,32.09
241048.jpg,128,2.004,76480,33.52
253027.jpg,32,2.016,61467,33.69
253055.jpg,16,2.228,24935,31.52
260058.jpg,16,2.171,34416,31.8
271035.jpg,32,2.333,51171,32.63
285079.jpg,128,2.001,96677,32.44
291000.jpg,128,2.435,104489,30.8
295087.jpg,64,2.461,48546,31.47
296007.jpg,32,2.028,41875,34.0
296059.jpg,32,2.32,42648,32.94
299086.jpg,32,2.015,38409,34.06
300091.jpg,32,2.299,39117,30.46
302008.jpg,16,2.42,21855,30.06
304034.jpg,128,2.132,99231,32.96
304074.jpg,32,2.455,68561,33.0
306005.jpg,128,2.02,81540,32.4
3096.jpg,16,1.304,23256,36.51
33039.jpg,32,2.078,79467,33.99
351093.jpg,64,2.113,65222,32.61
361010.jpg,32,2.373,45344,31.32
37073.jpg,16,2.244,47326,30.85
376043.jpg,128,2.095,89727,33.53
38082.jpg,64,2.027,89539,34.74
38092.jpg,64,2.036,63261,33.36
385039.jpg,64,2.25,57847,33.01
41033.jpg,16,2.226,37910,32.7
41069.jpg,32,2.189,70401,33.63
42012.jpg,16,2.366,36523,32.78
42049.jpg,16,1.898,25013,31.34
43074.jpg,16,2.333,33286,32.58
45096.jpg,32,2.015,23886,29.89
54082.jpg,32,2.415,44897,33.15
55073.jpg,64,2.05,93023,33.23
58060.jpg,64,2.075,73233,31.89
62096.jpg,16,2.123,38298,31.91
65033.jpg,64,2.204,82814,31.83
66053.jpg,64,2.103,63982,33.52
69015.jpg,64,2.45,56561,32.31
69020.jpg,64,2.189,86769,34.11
69040.jpg,32,2.497,73196,33.32
76053.jpg,64,2.391,59200,33.6
78004.jpg,64,1.953,46112,34.67
8023.jpg,64,2.233,62279,33.99
85048.jpg,128,2.409,72139,32.65
86000.jpg,128,2.251,63372,32.11
86016.jpg,32,1.995,78871,34.5
86068.jpg,64,2.472,78337,33.45
87046.jpg,64,2.451,66826,32.79
89072.jpg,64,2.154,65124,34.26
97033.jpg,32,2.16,51355,32.81
