image,method,psnr,ssim,dE00
101085.jpg,kmeans_rgb,34.912,0.9797,2.61
101085.jpg,pw_lab,31.935,0.9615,2.28
101085.jpg,ce_kmeans,32.273,0.9614,2.218
101087.jpg,kmeans_rgb,34.401,0.9506,2.302
101087.jpg,pw_lab,31.7,0.9133,2.03
101087.jpg,ce_kmeans,31.758,0.9201,1.944
102061.jpg,kmeans_rgb,34.862,0.9472,2.663
102061.jpg,pw_lab,32.503,0.9175,2.244
102061.jpg,ce_kmeans,32.391,0.9212,2.175
103070.jpg,kmeans_rgb,36.742,0.954,2.641
103070.jpg,pw_lab,34.032,0.9171,2.29
103070.jpg,ce_kmeans,33.923,0.9178,2.236
105025.jpg,kmeans_rgb,34.606,0.9604,3.178
105025.jpg,pw_lab,32.274,0.9338,2.752
105025.jpg,ce_kmeans,31.308,0.9195,2.63
106024.jpg,kmeans_rgb,39.307,0.9675,1.978
106024.jpg,pw_lab,36.69,0.9388,1.537
106024.jpg,ce_kmeans,36.09,0.9297,1.505
108005.jpg,kmeans_rgb,34.339,0.9567,3.311
108005.jpg,pw_lab,31.452,0.9279,2.81
108005.jpg,ce_kmeans,31.139,0.9262,2.702
108070.jpg,kmeans_rgb,34.439,0.9714,3.101
108070.jpg,pw_lab,31.171,0.9497,2.623
108070.jpg,ce_kmeans,31.306,0.9521,2.518
108082.jpg,kmeans_rgb,37.679,0.9807,2.278
108082.jpg,pw_lab,34.157,0.9674,2.023
108082.jpg,ce_kmeans,33.748,0.9606,1.886
109053.jpg,kmeans_rgb,36.92,0.9639,2.486
109053.jpg,pw_lab,34.238,0.9402,2.271
109053.jpg,ce_kmeans,33.744,0.9344,2.198
119082.jpg,kmeans_rgb,35.379,0.9702,3.013
119082.jpg,pw_lab,33.156,0.9519,2.477
119082.jpg,ce_kmeans,32.39,0.9401,2.38
12084.jpg,kmeans_rgb,33.325,0.9454,3.707
12084.jpg,pw_lab,30.454,0.8974,3.137
12084.jpg,ce_kmeans,30.431,0.9059,2.995
123074.jpg,kmeans_rgb,38.153,0.9744,2.629
123074.jpg,pw_lab,35.673,0.9464,2.264
