image,method,n_colors,psnr,ssim,time_ms,png_bytes,dE00
kodim01.png,ce_kmeans,16,31.315,0.9284,16531.4,120914,2.827
kodim01.png,ce_kmeans,32,32.987,0.9454,8027.2,146828,2.249
kodim01.png,ce_kmeans,64,34.983,0.9645,13201.3,187363,1.781
kodim01.png,ce_kmeans,128,37.416,0.9761,12454.9,234761,1.427
kodim01.png,ce_kmeans,256,39.244,0.9845,20849.2,290335,1.13
kodim02.png,ce_kmeans,16,32.269,0.9134,2207.3,111441,1.524
kodim02.png,ce_kmeans,32,33.698,0.944,3197.2,162496,1.174
kodim02.png,ce_kmeans,64,35.869,0.9628,11206.8,208755,0.92
kodim02.png,ce_kmeans,128,38.54,0.9774,18252.5,262359,0.717
kodim02.png,ce_kmeans,256,40.511,0.9857,39845.7,314654,0.567
kodim03.png,ce_kmeans,16,26.551,0.8068,2852.5,37923,4.171
kodim03.png,ce_kmeans,32,28.781,0.8506,5169.7,49376,2.827
kodim03.png,ce_kmeans,64,31.979,0.8956,9142.2,77075,2.003
kodim03.png,ce_kmeans,128,34.261,0.9271,9057.6,109912,1.494
kodim03.png,ce_kmeans,256,36.401,0.9503,18944.8,150984,1.129
kodim04.png,ce_kmeans,16,27.81,0.7899,1693.2,63081,3.743
kodim04.png,ce_kmeans,32,30.628,0.8531,3078.8,86879,2.742
kodim04.png,ce_kmeans,64,33.162,0.9012,5760.8,118397,2.072
kodim04.png,ce_kmeans,128,35.104,0.9308,23379.2,158969,1.606
kodim04.png,ce_kmeans,256,37.359,0.9543,35187.4,210074,1.271
kodim05.png,ce_kmeans,16,25.302,0.8167,3345.5,98555,5.214
kodim05.png,ce_kmeans,32,27.606,0.8801,5836.3,122212,3.978
kodim05.png,ce_kmeans,64,29.754,0.9162,8107.6,159433,3.097
kodim05.png,ce_kmeans,128,31.938,0.9437,10246.1,204464,2.435
kodim05.png,ce_kmeans,256,33.68,0.9606,19332.8,257193,1.949
kodim06.png,ce_kmeans,16,29.437,0.8781,2347.8,89017,3.263
kodim06.png,ce_kmeans,32,32.333,0.9225,3719.3,104449,2.409
kodim06.png,ce_kmeans,64,34.457,0.9498,12161.2,137649,1.862
kodim06.png,ce_kmeans,128,36.059,0.9656,20530.3,177926,1.483
kodim06.png,ce_kmeans,256,38.3,0.9768,40372.6,230492,1.178
kodim07.png,ce_kmeans,16,28.523,0.8593,2992.4,58121,3.475
kodim07.png,ce_kmeans,32,31.163,0.8994,4564.2,77283,2.506
kodim07.png,ce_kmeans,64,33.066,0.9304,5801.5,109236,1.972
kodim07.png,ce_kmeans,128,35.318,0.9543,10317.3,151358,1.524
kodim07.png,ce_kmeans,256,37.032,0.9679,21119.2,199942,1.18
kodim08.png,ce_kmeans,16,26.208,0.8618,1637.2,88506,4.819
kodim08.png,ce_kmeans,32,29.106,0.908,2898.7,118845,3.639
kodim08.png,ce_kmeans,64,31.402,0.933,14682.3,151936,2.829
kodim08.png,ce_kmeans,128,33.585,0.9565,20854.3,200624,2.238
kodim08.png,ce_kmeans,256,35.672,0.9723,35817.0,263156,1.784
kodim09.png,ce_kmeans,16,29.558,0.8728,2105.1,71316,2.902
kodim09.png,ce_kmeans,32,31.502,0.909,3547.2,102763,2.276
kodim09.png,ce_kmeans,64,33.484,0.9336,6092.5,143606,1.787
kodim09.png,ce_kmeans,128,36.019,0.9517,10113.5,182091,1.413
kodim09.png,ce_kmeans,256,37.643,0.9672,22580.4,232553,1.091
kodim10.png,ce_kmeans,16,29.79,0.8491,4399.1,68627,3.265
kodim10.png,ce_kmeans,32,31.838,0.8858,6020.0,92431,2.507
kodim10.png,ce_kmeans,64,34.1,0.9206,10389.1,125292,1.984
kodim10.png,ce_kmeans,128,36.305,0.944,22851.9,169050,1.582
kodim10.png,ce_kmeans,256,37.986,0.9616,29318.4,223077,1.274
kodim11.png,ce_kmeans,16,28.531,0.8438,1943.2,71677,3.647
kodim11.png,ce_kmeans,32,30.758,0.8998,3748.1,94517,2.704
kodim11.png,ce_kmeans,64,33.523,0.9367,6479.2,131328,2.069
kodim11.png,ce_kmeans,128,35.024,0.9531,10301.1,176074,1.682
kodim11.png,ce_kmeans,256,36.931,0.9687,30973.6,221844,1.344
kodim12.png,ce_kmeans,16,27.996,0.8394,5019.3,59653,3.063
kodim12.png,ce_kmeans,32,31.517,0.8817,8425.1,76618,2.184
kodim12.png,ce_kmeans,64,34.115,0.917,10076.4,104812,1.642
kodim12.png,ce_kmeans,128,36.578,0.9451,20072.6,144067,1.271
kodim12.png,ce_kmeans,256,38.385,0.9639,18244.3,190667,0.989
kodim13.png,ce_kmeans,16,27.794,0.8897,2300.8,132913,4.069
kodim13.png,ce_kmeans,32,30.455,0.9352,3868.1,156955,3.141
kodim13.png,ce_kmeans,64,32.431,0.9542,7291.0,195725,2.494
kodim13.png,ce_kmeans,128,34.35,0.9698,9932.9,242507,1.991
kodim13.png,ce_kmeans,256,36.246,0.9801,40963.6,296969,1.603
kodim14.png,ce_kmeans,16,26.413,0.8136,4919.0,88472,4.304
