image,k,method,mse_ours,mse_gold,ratio,log_ratio
adirondack_chairs,4,MC,1695.6496683756511,5511.25,0.30767061344988,-0.5119139825501638
adirondack_chairs,4,OCT,8963.613996717664,4509.0,1.9879383448032077,0.29840291078213194
astro_bodies,4,MC,1069.1963653564453,3481.47,0.30711060711608756,-0.512705183451323
astro_bodies,4,OCT,6082.253059387207,2217.05,2.743399138218446,0.4382889978762274
astronaut,4,MC,403.4728071424696,2521.01,0.16004411213857525,-0.7957602984818128
astronaut,4,OCT,726.2245093451606,1417.15,0.5124542280952338,-0.2903449192934824
balinese_dancer,4,MC,1201.425443013509,1805.41,0.665458506939426,-0.1768790187303071
balinese_dancer,4,OCT,3251.6902686225044,1476.06,2.202952636493438,0.34300515991487734
ball_caps,4,MC,742.9051259358724,2627.5,0.28274219826293906,-0.5486093697733315
ball_caps,4,OCT,1595.970834520128,2065.66,0.7726202930395748,-0.11203388920263045
birthday_baloons,4,MC,3699.5512415568032,12996.4,0.284659693573359,-0.5456740224839487
birthday_baloons,4,OCT,6469.258377922906,6306.64,1.0257852640903724,0.011056455920800783
bosnian_pine_needle,4,MC,838.5495546129015,2830.62,0.2962423619605957,-0.5283528382852278
bosnian_pine_needle,4,OCT,7866.7140706380205,2436.63,3.228522209214374,0.5090037782921369
buggy,4,MC,872.3947075737847,3036.61,0.28729231201036176,-0.5416759956444971
buggy,4,OCT,5021.309544881185,1946.29,2.5799390352317406,0.411609443569715
calaveras,4,MC,2806.5075539482964,6991.28,0.4014297172975902,-0.39639048042690966
calaveras,4,OCT,10348.03087955051,7090.09,1.4595062798286778,0.164205967970196
carrots,4,MC,681.179562886556,2406.07,0.2831087885583362,-0.5480466486032975
carrots,4,OCT,5194.814105563693,2122.86,2.447082758902468,0.38864865718460456
chalk_pastels,4,MC,955.0250549316406,2419.27,0.3947575322025407,-0.40366957465015163
chalk_pastels,4,OCT,2459.1080017089844,2753.1,0.8932141955283079,-0.04904438346152418
chicken_dish,4,MC,775.5112347073025,2626.08,0.29531135178947426,-0.5297198584031165
chicken_dish,4,OCT,1868.6179529825847,2594.83,0.7201311658114731,-0.14258839329093606
chili_peppers,4,MC,1655.2704459296333,5425.02,0.30511785134978914,-0.5155323826037058
chili_peppers,4,OCT,7898.476458231608,4394.93,1.797179126455167,0.2545913657867883
clownfish,4,MC,891.3050850762261,4779.94,0.1864678395704185,-0.7293960609142657
clownfish,4,OCT,6665.006839328342,2503.03,2.6627754518836535,0.42533454453897945
color_chart,4,MC,3921.025831434462,10702.4,0.366368836096059,-0.43608147519830465
color_chart,4,OCT,17936.9833340115,10370.7,1.7295827026152042,0.237941333294982
color_checker,4,MC,2466.738221062554,7835.78,0.31480442547679416,-0.5019591710186843
color_checker,4,OCT,8718.866897583008,6819.53,1.2785143400766634,0.10670560352484049
coloring_pencils,4,MC,2217.3060107760957,3473.9,0.6382757162774103,-0.19499167834528372
coloring_pencils,4,OCT,5412.992061191135,4609.14,1.1744039150885273,0.0698174903738596
