image,method,psnr,ssim,dE00
kodim01.png,CE no-dither,34.94,0.9641,1.793
kodim01.png,CE + plain FS,34.24,0.9483,2.431
kodim01.png,DACQ (refined+FS),30.89,0.9195,2.791
kodim02.png,CE no-dither,35.08,0.9629,0.955
kodim02.png,CE + plain FS,34.01,0.9421,1.191
kodim02.png,DACQ (refined+FS),30.73,0.8815,1.789
kodim03.png,CE no-dither,31.52,0.8955,2.049
kodim03.png,CE + plain FS,29.23,0.7826,2.919
kodim03.png,DACQ (refined+FS),27.0,0.7399,3.666
kodim04.png,CE no-dither,33.07,0.9022,2.069
kodim04.png,CE + plain FS,31.01,0.8154,2.936
kodim04.png,DACQ (refined+FS),28.26,0.7697,3.544
kodim05.png,CE no-dither,29.8,0.9173,3.09
kodim05.png,CE + plain FS,29.13,0.893,4.309
kodim05.png,DACQ (refined+FS),26.97,0.8597,4.947
kodim06.png,CE no-dither,34.47,0.9499,1.846
kodim06.png,CE + plain FS,33.28,0.9149,2.48
kodim06.png,DACQ (refined+FS),31.24,0.9011,2.813
kodim07.png,CE no-dither,33.18,0.931,1.94
kodim07.png,CE + plain FS,32.05,0.8946,2.631
kodim07.png,DACQ (refined+FS),27.91,0.8292,3.42
kodim08.png,CE no-dither,31.34,0.9332,2.825
kodim08.png,CE + plain FS,31.01,0.9148,3.786
kodim08.png,DACQ (refined+FS),30.15,0.9091,4.156
kodim09.png,CE no-dither,33.63,0.933,1.802
kodim09.png,CE + plain FS,32.39,0.8941,2.354
kodim09.png,DACQ (refined+FS),29.67,0.8725,2.937
kodim10.png,CE no-dither,34.26,0.9211,1.972
kodim10.png,CE + plain FS,33.36,0.8794,2.526
kodim10.png,DACQ (refined+FS),30.7,0.8396,3.005
kodim11.png,CE no-dither,33.45,0.9357,2.055
kodim11.png,CE + plain FS,31.98,0.9031,2.908
kodim11.png,DACQ (refined+FS),29.84,0.8629,3.568
kodim12.png,CE no-dither,34.18,0.917,1.63
kodim12.png,CE + plain FS,32.44,0.8656,2.246
kodim12.png,DACQ (refined+FS),28.96,0.8113,2.968
kodim13.png,CE no-dither,32.42,0.9538,2.503
kodim13.png,CE + plain FS,31.73,0.9402,3.373
kodim13.png,DACQ (refined+FS),30.23,0.9251,3.664
kodim14.png,CE no-dither,31.04,0.9144,2.493
kodim14.png,CE + plain FS,29.94,0.8849,3.327
kodim14.png,DACQ (refined+FS),27.74,0.8562,4.022
kodim15.png,CE no-dither,31.84,0.8863,2.134
kodim15.png,CE + plain FS,30.51,0.8285,2.91
kodim15.png,DACQ (refined+FS),28.28,0.8069,3.674
kodim16.png,CE no-dither,36.55,0.9455,1.672
kodim16.png,CE + plain FS,34.88,0.9094,2.178
kodim16.png,DACQ (refined+FS),32.61,0.8823,2.461
kodim17.png,CE no-dither,34.95,0.9313,1.815
kodim17.png,CE + plain FS,33.96,0.9113,2.384
kodim17.png,DACQ (refined+FS),32.09,0.891,2.581
kodim18.png,CE no-dither,30.83,0.9054,2.756
kodim18.png,CE + plain FS,30.14,0.8929,3.832
kodim18.png,DACQ (refined+FS),28.65,0.8625,4.279
kodim19.png,CE no-dither,34.24,0.936,1.984
kodim19.png,CE + plain FS,32.97,0.9011,2.628
kodim19.png,DACQ (refined+FS),30.62,0.8769,3.028
kodim20.png,CE no-dither,34.07,0.9405,1.57
kodim20.png,CE + plain FS,32.7,0.9061,2.105
kodim20.png,DACQ (refined+FS),31.5,0.8908,2.249
kodim21.png,CE no-dither,33.38,0.9289,2.12
kodim21.png,CE + plain FS,31.97,0.8995,2.876
kodim21.png,DACQ (refined+FS),30.31,0.8732,3.224
kodim22.png,CE no-dither,31.39,0.8849,2.744
kodim22.png,CE + plain FS,30.19,0.8336,3.953
kodim22.png,DACQ (refined+FS),28.41,0.8059,4.374
kodim23.png,CE no-dither,29.68,0.8202,2.858
kodim23.png,CE + plain FS,27.26,0.6531,4.356
kodim23.png,DACQ (refined+FS),26.4,0.6478,4.636
kodim24.png,CE no-dither,32.32,0.9282,2.533
kodim24.png,CE + plain FS,31.26,0.8858,3.583
kodim24.png,DACQ (refined+FS),29.23,0.8654,4.016
