image,method,psnr,dE00,bytes
kodim01.png,bmshj2018_q2,25.82,4.45,12567
kodim01.png,bmshj2018_q4,28.58,3.293,31089
kodim01.png,bmshj2018_q6,33.14,2.183,72524
kodim01.png,bmshj2018_q8,38.32,1.434,131716
kodim01.png,CE-KMeans,34.983,1.781,187363
kodim02.png,bmshj2018_q2,30.04,2.498,7362
kodim02.png,bmshj2018_q4,32.57,1.797,16724
kodim02.png,bmshj2018_q6,35.83,1.298,38375
kodim02.png,bmshj2018_q8,39.91,0.889,79410
kodim02.png,CE-KMeans,35.869,0.92,208755
kodim03.png,bmshj2018_q2,31.44,2.71,6590
kodim03.png,bmshj2018_q4,34.34,1.828,14388
kodim03.png,bmshj2018_q6,38.12,1.312,29685
kodim03.png,bmshj2018_q8,41.71,0.975,56241
kodim03.png,CE-KMeans,31.979,2.003,77075
kodim04.png,bmshj2018_q2,29.76,3.047,7510
kodim04.png,bmshj2018_q4,32.75,2.098,17259
kodim04.png,bmshj2018_q6,36.19,1.513,38074
kodim04.png,bmshj2018_q8,39.96,1.099,76850
kodim04.png,CE-KMeans,33.162,2.072,118397
kodim05.png,bmshj2018_q2,24.95,5.485,14457
kodim05.png,bmshj2018_q4,28.62,3.837,33169
kodim05.png,bmshj2018_q6,33.61,2.522,67071
kodim05.png,bmshj2018_q8,38.21,1.693,115529
kodim05.png,CE-KMeans,29.754,3.097,159433
kodim06.png,bmshj2018_q2,26.5,3.719,10193
kodim06.png,bmshj2018_q4,29.59,2.677,24892
kodim06.png,bmshj2018_q6,34.44,1.772,56403
kodim06.png,bmshj2018_q8,39.19,1.178,102267
kodim06.png,CE-KMeans,34.457,1.862,137649
kodim07.png,bmshj2018_q2,30.27,3.614,8686
kodim07.png,bmshj2018_q4,33.94,2.244,17901
kodim07.png,bmshj2018_q6,37.81,1.525,34276
kodim07.png,bmshj2018_q8,41.35,1.123,61870
kodim07.png,CE-KMeans,33.066,1.972,109236
kodim08.png,bmshj2018_q2,23.99,5.493,15011
kodim08.png,bmshj2018_q4,27.52,3.937,34294
kodim08.png,bmshj2018_q6,32.54,2.65,73629
kodim08.png,bmshj2018_q8,37.39,1.817,133663
kodim08.png,CE-KMeans,31.402,2.829,151936
kodim09.png,bmshj2018_q2,30.78,3.572,7349
kodim09.png,bmshj2018_q4,34.14,2.114,15463
kodim09.png,bmshj2018_q6,37.51,1.586,30816
kodim09.png,bmshj2018_q8,40.44,1.284,60834
kodim09.png,CE-KMeans,33.484,1.787,143606
kodim10.png,bmshj2018_q2,30.19,3.439,7585
kodim10.png,bmshj2018_q4,33.93,2.194,16290
kodim10.png,bmshj2018_q6,37.33,1.669,32456
kodim10.png,bmshj2018_q8,40.42,1.31,63901
kodim10.png,CE-KMeans,34.1,1.984,125292
kodim11.png,bmshj2018_q2,27.79,3.781,9005
kodim11.png,bmshj2018_q4,30.72,2.694,21646
kodim11.png,bmshj2018_q6,34.91,1.868,48834
kodim11.png,bmshj2018_q8,39.52,1.301,93931
kodim11.png,CE-KMeans,33.523,2.069,131328
kodim12.png,bmshj2018_q2,31.17,2.459,6835
kodim12.png,bmshj2018_q4,34.05,1.715,15383
kodim12.png,bmshj2018_q6,37.43,1.272,33127
kodim12.png,bmshj2018_q8,41.02,0.943,66144
kodim12.png,CE-KMeans,34.115,1.642,104812
kodim13.png,bmshj2018_q2,22.45,5.784,14150
kodim13.png,bmshj2018_q4,25.13,4.46,37991
kodim13.png,bmshj2018_q6,30.11,2.935,93431
kodim13.png,bmshj2018_q8,35.98,1.83,170225
kodim13.png,CE-KMeans,32.431,2.494,195725
kodim14.png,bmshj2018_q2,26.55,4.076,11037
kodim14.png,bmshj2018_q4,29.69,2.949,26522
kodim14.png,bmshj2018_q6,33.92,2.036,58271
kodim14.png,bmshj2018_q8,38.38,1.398,109572
kodim14.png,CE-KMeans,30.977,2.501,140504
kodim15.png,bmshj2018_q2,29.9,2.939,7285
kodim15.png,bmshj2018_q4,32.49,2.11,16441
kodim15.png,bmshj2018_q6,35.96,1.553,36303
kodim15.png,bmshj2018_q8,39.99,1.133,73453
kodim15.png,CE-KMeans,31.89,2.142,99573
