image,K_iter,dE00_iter,bytes_iter,psnr_iter
0801.png,64,2.492,149643,33.18
0802.png,64,2.259,110847,29.76
0803.png,256,2.273,97277,30.88
0804.png,256,2.216,174137,32.25
0805.png,128,2.237,163926,33.73
0806.png,128,2.04,98550,31.38
0807.png,256,2.103,198452,30.45
0808.png,128,2.124,85522,31.55
0809.png,128,2.305,149924,32.57
0810.png,64,2.173,106344,33.82
0811.png,64,2.117,126671,33.59
0812.png,64,2.243,81808,33.24
0813.png,128,2.164,102617,31.41
0814.png,32,2.243,54816,30.85
0815.png,16,6.725,56199,23.31
0816.png,32,2.199,78880,33.7
0817.png,256,2.027,163828,31.43
0818.png,256,2.073,149897,32.29
0819.png,256,2.2,197786,33.39
0820.png,128,2.203,140094,33.24
0821.png,64,2.07,123968,32.3
0822.png,128,2.018,174992,33.1
0823.png,64,2.168,91411,30.95
0824.png,32,2.148,69416,31.43
0825.png,128,2.344,136203,32.23
0826.png,128,2.33,101893,31.85
0827.png,16,2.429,63853,31.39
0828.png,32,1.915,102171,32.27
0829.png,64,2.439,94891,30.43
0830.png,64,2.196,88863,33.12
0831.png,128,2.2,125177,33.07
0832.png,128,2.28,124360,32.78
0833.png,64,2.126,58420,30.44
0834.png,128,1.989,116860,32.76
0835.png,128,2.264,153049,32.83
0836.png,128,2.438,103258,31.12
0837.png,256,2.25,183163,32.56
0838.png,64,2.142,83578,33.42
0839.png,16,1.739,49933,32.92
0840.png,64,2.246,155433,33.86
0841.png,64,2.184,119505,32.84
0842.png,32,2.175,86018,33.05
0843.png,16,0.881,12707,33.95
0844.png,16,1.589,38733,31.56
0845.png,32,1.985,101225,33.46
0846.png,16,1.811,53849,33.18
0847.png,128,2.435,124127,31.42
0848.png,128,2.401,110727,31.09
0849.png,64,2.446,169072,31.85
0850.png,128,2.032,124265,33.92
0851.png,64,1.894,74172,29.56
0852.png,16,2.121,78701,30.47
0853.png,128,2.093,133398,31.62
0854.png,32,2.349,91114,32.28
0855.png,32,2.396,70007,32.0
0856.png,128,2.098,204736,32.55
0857.png,32,2.188,57033,32.62
0858.png,64,2.297,150344,31.23
0859.png,32,2.488,115472,31.99
0860.png,256,2.109,223329,32.25
0861.png,32,2.212,108824,31.73
0862.png,32,2.286,49274,31.99
0863.png,64,2.096,73232,32.33
0864.png,32,2.419,99769,33.12
0865.png,64,2.178,96463,33.34
0866.png,128,2.073,151908,33.9
0867.png,256,2.42,147380,31.92
0868.png,16,0.922,35763,34.0
0869.png,64,2.14,98024,34.1
0870.png,256,2.056,220485,33.22
0871.png,256,2.194,148581,33.02
0872.png,128,2.314,172292,32.54
0873.png,128,2.34,142229,31.98
0874.png,16,2.455,69931,32.07
0875.png,256,2.082,225187,33.28
0876.png,64,2.289,153522,31.81
0877.png,16,1.727,56866,32.64
0878.png,32,2.441,91639,32.23
0879.png,32,2.17,51631,31.1
0880.png,32,2.28,58853,33.11
0881.png,32,2.496,57203,31.37
0882.png,128,2.212,109448,31.66
0883.png,128,2.498,174696,32.71
0884.png,128,2.176,152249,33.14
0885.png,32,2.004,139920,33.95
0886.png,256,2.102,102374,31.23
0887.png,64,2.432,86478,30.63
0888.png,128,2.266,128947,31.95
0889.png,16,7.479,66428,20.88
0890.png,64,1.993,83824,32.92
0891.png,128,2.383,108092,31.67
0892.png,64,2.125,100465,32.99
0893.png,32,2.129,98680,31.9
0894.png,32,1.917,61434,31.6
0895.png,128,2.499,193024,32.48
0896.png,16,1.892,57098,32.38
0897.png,64,2.427,168287,30.87
0898.png,16,2.118,55220,28.43
0899.png,32,2.063,106784,30.57
0900.png,128,1.853,144483,31.38
