image,method,psnr,ssim,dE00
0801.png,kmeans_rgb,36.312,0.9813,2.904
0801.png,pw_lab,34.164,0.9683,2.545
0801.png,ce_kmeans,33.262,0.9597,2.482
0802.png,kmeans_rgb,32.32,0.9227,2.818
0802.png,pw_lab,29.615,0.8637,2.455
0802.png,ce_kmeans,29.612,0.8707,2.273
0803.png,kmeans_rgb,28.553,0.8044,4.523
0803.png,pw_lab,26.197,0.7426,4.132
0803.png,ce_kmeans,26.661,0.7631,3.775
0804.png,kmeans_rgb,31.298,0.9432,4.157
0804.png,pw_lab,28.779,0.9118,3.672
0804.png,ce_kmeans,28.132,0.8999,3.477
0805.png,kmeans_rgb,34.962,0.9619,3.11
0805.png,pw_lab,32.932,0.9357,2.886
0805.png,ce_kmeans,31.848,0.9169,2.759
0806.png,kmeans_rgb,32.723,0.9079,3.148
0806.png,pw_lab,30.193,0.8753,2.756
0806.png,ce_kmeans,29.417,0.862,2.621
0807.png,kmeans_rgb,30.209,0.9172,4.389
0807.png,pw_lab,27.097,0.857,3.548
0807.png,ce_kmeans,26.906,0.8589,3.369
0808.png,kmeans_rgb,32.413,0.9123,3.37
0808.png,pw_lab,29.581,0.8813,2.935
0808.png,ce_kmeans,29.415,0.882,2.799
0809.png,kmeans_rgb,32.295,0.9383,3.426
0809.png,pw_lab,30.169,0.8926,3.045
0809.png,ce_kmeans,30.604,0.9054,2.881
0810.png,kmeans_rgb,36.269,0.9531,2.568
0810.png,pw_lab,33.757,0.9219,2.257
0810.png,ce_kmeans,33.834,0.9334,2.164
0811.png,kmeans_rgb,36.065,0.964,2.568
0811.png,pw_lab,33.687,0.9451,2.221
0811.png,ce_kmeans,33.645,0.9396,2.127
0812.png,kmeans_rgb,35.515,0.962,2.5
0812.png,pw_lab,33.487,0.9419,2.321
0812.png,ce_kmeans,33.378,0.9398,2.218
0813.png,kmeans_rgb,32.17,0.9283,3.281
0813.png,pw_lab,28.978,0.8869,2.946
0813.png,ce_kmeans,29.299,0.874,2.813
0814.png,kmeans_rgb,35.971,0.9739,2.289
0814.png,pw_lab,32.482,0.9579,1.894
0814.png,ce_kmeans,32.382,0.958,1.764
0815.png,kmeans_rgb,30.667,0.9009,5.394
