image,K_iter,dE00_iter,bytes_iter,psnr_iter
kodim01.png,32,2.277,147464,33.35
kodim02.png,16,1.5,111519,32.42
kodim03.png,64,2.023,76798,31.46
kodim04.png,64,2.102,120357,33.09
kodim05.png,128,2.482,205644,31.81
kodim06.png,32,2.425,107361,32.83
kodim07.png,64,1.958,110460,33.39
kodim08.png,128,2.248,203714,34.15
kodim09.png,32,2.32,101935,31.39
kodim10.png,64,2.001,127294,34.18
kodim11.png,64,2.075,133243,33.59
kodim12.png,32,2.19,76523,31.73
kodim13.png,128,2.01,243858,34.77
kodim14.png,128,2.01,185665,32.96
kodim15.png,64,2.166,96758,32.13
kodim16.png,32,2.131,88909,34.1
kodim17.png,32,2.313,105753,32.49
kodim18.png,128,2.202,215677,32.79
kodim19.png,64,2.022,138696,34.13
kodim20.png,32,1.931,92712,32.3
kodim21.png,64,2.135,135620,33.74
kodim22.png,128,2.205,184739,33.46
kodim23.png,128,2.255,99558,31.61
kodim24.png,128,2.056,188575,34.48
