image,k,space,vifp,psnr,ssim,dE00,lpips_alex,lpips_vgg
kodim01,4,luv,0.218798,21.995128,0.652120,6.261817,0.257751,0.515132
kodim01,4,rgb,0.374679,24.689080,0.832951,7.176875,0.202703,0.326963
kodim01,4,xyz,0.306993,22.810007,0.756689,8.359425,0.280679,0.407736
kodim01,16,luv,0.503561,30.063605,0.908890,3.038830,0.055446,0.151905
kodim01,16,rgb,0.613996,32.853646,0.943773,2.955903,0.041229,0.117485
kodim01,16,xyz,0.583086,29.564004,0.927283,4.613781,0.085205,0.155150
kodim01,64,luv,0.642105,34.885268,0.955561,1.877602,0.018978,0.068836
kodim01,64,rgb,0.771762,38.276464,0.981539,2.052785,0.014879,0.036590
kodim01,64,xyz,0.749612,36.058543,0.971654,2.357656,0.021449,0.051796
kodim01,256,luv,0.763597,39.033320,0.980624,1.186869,0.005922,0.029284
kodim01,256,rgb,0.860509,42.612195,0.992338,1.384514,0.004146,0.012331
kodim01,256,xyz,0.838459,40.429615,0.987894,1.770258,0.010911,0.020996
kodim02,4,luv,0.074984,25.034299,0.649617,3.387623,0.329383,0.473142
kodim02,4,rgb,0.202996,26.969244,0.772240,3.209935,0.226205,0.431343
kodim02,4,xyz,0.103016,25.203441,0.687562,3.839889,0.344930,0.531416
kodim02,16,luv,0.257111,30.082053,0.815292,1.939458,0.144149,0.302186
kodim02,16,rgb,0.471027,34.023926,0.917291,1.581131,0.047126,0.142602
kodim02,16,xyz,0.422218,32.690964,0.901007,1.711902,0.054688,0.136432
kodim02,64,luv,0.525403,36.344877,0.936472,1.051369,0.031932,0.113751
kodim02,64,rgb,0.699441,40.055647,0.972268,0.870526,0.008588,0.032200
kodim02,64,xyz,0.599228,37.090250,0.952458,1.075395,0.018295,0.049303
kodim02,256,luv,0.753380,41.581704,0.979691,0.613400,0.007003,0.027979
kodim02,256,rgb,0.857910,45.230780,0.991284,0.533105,0.001906,0.008046
kodim02,256,xyz,0.782052,42.304268,0.982746,0.688888,0.004269,0.013217
kodim03,4,luv,0.114606,19.526167,0.715427,8.781310,0.423363,0.574140
kodim03,4,rgb,0.188862,20.967730,0.771470,10.502317,0.422394,0.578169
kodim03,4,xyz,0.207585,19.654705,0.756194,10.953058,0.469923,0.600171
kodim03,16,luv,0.235291,26.045562,0.786659,4.097676,0.308398,0.481185
kodim03,16,rgb,0.317906,27.996774,0.835598,4.696314,0.264182,0.442880
kodim03,16,xyz,0.317869,25.933551,0.810994,5.318161,0.293123,0.449304
kodim03,64,luv,0.396616,31.532904,0.876665,2.126385,0.172586,0.358104
kodim03,64,rgb,0.525932,34.279946,0.919602,2.159817,0.122233,0.298185
kodim03,64,xyz,0.525368,31.226343,0.908431,3.100403,0.125289,0.292563
kodim03,256,luv,0.584873,36.376590,0.941127,1.197538,0.063170,0.204455
kodim03,256,rgb,0.710897,39.943987,0.969907,1.313032,0.022358,0.100765
kodim03,256,xyz,0.690681,36.998549,0.959075,1.685510,0.030324,0.105508
kodim04,4,luv,0.106928,20.512657,0.605919,8.297670,0.472340,0.552624
kodim04,4,rgb,0.216245,22.415617,0.710286,9.224904,0.451952,0.531239
kodim04,4,xyz,0.170807,21.195516,0.647065,10.885243,0.541777,0.599338
kodim04,16,luv,0.230827,26.239401,0.717254,4.154825,0.320526,0.455310
kodim04,16,rgb,0.371608,29.151044,0.822794,4.549573,0.216809,0.372005
kodim04,16,xyz,0.360002,27.270142,0.805165,5.931935,0.262778,0.386486
kodim04,64,luv,0.421302,31.866829,0.862434,2.300317,0.151776,0.294381
kodim04,64,rgb,0.584606,35.099107,0.934480,2.429063,0.064280,0.152365
kodim04,64,xyz,0.578764,32.527375,0.925878,3.263950,0.069613,0.134508
kodim04,256,luv,0.595634,36.536173,0.936951,1.396438,0.056319,0.159826
kodim04,256,rgb,0.742267,40.109967,0.973368,1.485178,0.016332,0.056858
kodim04,256,xyz,0.705089,37.414376,0.964890,2.062295,0.024612,0.054196
kodim05,4,luv,0.217429,19.512481,0.641495,9.735850,0.293040,0.495622
kodim05,4,rgb,0.297991,22.078862,0.752144,9.704392,0.262827,0.440883
kodim05,4,xyz,0.232093,20.597731,0.646035,10.811826,0.348624,0.515242
kodim05,16,luv,0.361417,24.864862,0.802628,5.504771,0.127522,0.293602
kodim05,16,rgb,0.482023,27.385502,0.884019,6.237892,0.095858,0.214774
kodim05,16,xyz,0.457725,25.026931,0.873922,8.046967,0.159659,0.270283
kodim05,64,luv,0.531821,29.773874,0.908358,3.287771,0.053985,0.148226
kodim05,64,rgb,0.630882,32.651624,0.951803,3.688250,0.029737,0.084562
kodim05,64,xyz,0.579891,29.869654,0.930964,5.482025,0.054526,0.119815
kodim05,256,luv,0.663550,34.009174,0.958619,2.121288,0.020857,0.069223
kodim05,256,rgb,0.759204,37.267844,0.980594,2.507224,0.009594,0.030875
kodim05,256,xyz,0.704203,34.051349,0.964678,3.569473,0.021283,0.048625
kodim06,4,luv,0.232924,23.381069,0.737615,6.667516,0.300771,0.498808
kodim06,4,rgb,0.249938,23.837799,0.751338,6.642044,0.299181,0.479768
kodim06,4,xyz,0.213016,23.177296,0.718543,6.858504,0.328693,0.505617
kodim06,16,luv,0.383339,28.553093,0.863684,3.402220,0.139361,0.297018
kodim06,16,rgb,0.508962,31.109460,0.916646,3.585274,0.104915,0.209768
kodim06,16,xyz,0.551660,29.711120,0.920756,4.350405,0.122312,0.228819
kodim06,64,luv,0.545601,33.922850,0.931740,1.927921,0.053617,0.154675
kodim06,64,rgb,0.678561,36.857304,0.967765,2.082011,0.024397,0.084765
kodim06,64,xyz,0.686541,34.321312,0.965628,2.676275,0.045297,0.085891
kodim06,256,luv,0.680980,37.791102,0.968243,1.200712,0.018319,0.076485
kodim06,256,rgb,0.807738,41.429094,0.986897,1.346568,0.006359,0.028139
kodim06,256,xyz,0.782511,38.151860,0.984205,2.052644,0.023810,0.044517
kodim07,4,luv,0.169649,21.203946,0.670003,7.818399,0.409371,0.529617
kodim07,4,rgb,0.312578,23.336846,0.801864,7.542253,0.352718,0.500334
kodim07,4,xyz,0.285804,22.362198,0.733762,8.213945,0.430017,0.539957
kodim07,16,luv,0.377986,27.696525,0.842115,3.739408,0.214697,0.394964
kodim07,16,rgb,0.475490,29.947285,0.888858,4.023740,0.178884,0.363036
kodim07,16,xyz,0.478301,28.163589,0.886675,5.121164,0.198454,0.364476
kodim07,64,luv,0.545910,32.757350,0.917554,2.039218,0.099308,0.262657
kodim07,64,rgb,0.658742,35.721077,0.954403,2.253331,0.050731,0.158945
kodim07,64,xyz,0.633023,33.159032,0.948548,2.998707,0.058156,0.136341
