image,method,n_colors,lpips_alex,lpips_vgg
kodim01.png,kmeans_rgb,64,0.01472,0.03834
kodim01.png,pw_lab,64,0.01887,0.07273
kodim01.png,ce_kmeans,64,0.01875,0.06108
kodim02.png,kmeans_rgb,64,0.00905,0.03122
kodim02.png,pw_lab,64,0.02295,0.07542
kodim02.png,ce_kmeans,64,0.0193,0.05156
kodim03.png,kmeans_rgb,64,0.12265,0.30732
kodim03.png,pw_lab,64,0.14859,0.32632
kodim03.png,ce_kmeans,64,0.13419,0.30236
kodim04.png,kmeans_rgb,64,0.06134,0.14606
kodim04.png,pw_lab,64,0.11598,0.25278
kodim04.png,ce_kmeans,64,0.1098,0.22641
kodim05.png,kmeans_rgb,64,0.03015,0.08582
kodim05.png,pw_lab,64,0.05119,0.13928
kodim05.png,ce_kmeans,64,0.05055,0.14111
kodim06.png,kmeans_rgb,64,0.02753,0.09852
kodim06.png,pw_lab,64,0.03983,0.13044
kodim06.png,ce_kmeans,64,0.03733,0.12416
kodim07.png,kmeans_rgb,64,0.0518,0.16912
kodim07.png,pw_lab,64,0.0824,0.23307
kodim07.png,ce_kmeans,64,0.07831,0.22628
kodim08.png,kmeans_rgb,64,0.01825,0.06039
kodim08.png,pw_lab,64,0.02476,0.10983
kodim08.png,ce_kmeans,64,0.02867,0.12409
kodim09.png,kmeans_rgb,64,0.03487,0.12947
kodim09.png,pw_lab,64,0.05643,0.18393
kodim09.png,ce_kmeans,64,0.05945,0.1908
kodim10.png,kmeans_rgb,64,0.04144,0.1348
kodim10.png,pw_lab,64,0.069,0.19876
kodim10.png,ce_kmeans,64,0.06838,0.20085
kodim11.png,kmeans_rgb,64,0.02936,0.10682
kodim11.png,pw_lab,64,0.0393,0.14025
kodim11.png,ce_kmeans,64,0.03922,0.13521
kodim12.png,kmeans_rgb,64,0.04412,0.1369
kodim12.png,pw_lab,64,0.06514,0.22167
kodim12.png,ce_kmeans,64,0.06535,0.22188
kodim13.png,kmeans_rgb,64,0.03324,0.06489
kodim13.png,pw_lab,64,0.03937,0.08472
kodim13.png,ce_kmeans,64,0.04355,0.0827
kodim14.png,kmeans_rgb,64,0.04239,0.12016
kodim14.png,pw_lab,64,0.04744,0.1558
kodim14.png,ce_kmeans,64,0.05089,0.15617
kodim15.png,kmeans_rgb,64,0.06544,0.18424
kodim15.png,pw_lab,64,0.10656,0.26917
kodim15.png,ce_kmeans,64,0.09893,0.25778
kodim16.png,kmeans_rgb,64,0.03786,0.11854
kodim16.png,pw_lab,64,0.05051,0.16561
kodim16.png,ce_kmeans,64,0.055,0.17411
kodim17.png,kmeans_rgb,64,0.03872,0.11181
kodim17.png,pw_lab,64,0.05685,0.1823
kodim17.png,ce_kmeans,64,0.07163,0.21278
kodim18.png,kmeans_rgb,64,0.03875,0.10455
kodim18.png,pw_lab,64,0.06016,0.16614
kodim18.png,ce_kmeans,64,0.06505,0.16702
kodim19.png,kmeans_rgb,64,0.0424,0.12171
kodim19.png,pw_lab,64,0.04719,0.15282
kodim19.png,ce_kmeans,64,0.04981,0.15994
kodim20.png,kmeans_rgb,64,0.02434,0.08116
kodim20.png,pw_lab,64,0.0443,0.12625
kodim20.png,ce_kmeans,64,0.04419,0.12088
kodim21.png,kmeans_rgb,64,0.04852,0.13403
kodim21.png,pw_lab,64,0.05235,0.17747
kodim21.png,ce_kmeans,64,0.05236,0.17438
kodim22.png,kmeans_rgb,64,0.05595,0.15285
kodim22.png,pw_lab,64,0.09357,0.24059
kodim22.png,ce_kmeans,64,0.09021,0.23108
kodim23.png,kmeans_rgb,64,0.19612,0.40631
kodim23.png,pw_lab,64,0.29965,0.46607
kodim23.png,ce_kmeans,64,0.26801,0.44618
kodim24.png,kmeans_rgb,64,0.03966,0.10405
kodim24.png,pw_lab,64,0.04418,0.13899
kodim24.png,ce_kmeans,64,0.0516,0.15653
