image,method,n_colors,lpips
kodim01.png,kmeans_rgb,16,0.04054
kodim01.png,pw_lab,16,0.04906
kodim01.png,ce_kmeans,16,0.05461
kodim01.png,kmeans_rgb,32,0.02453
kodim01.png,pw_lab,32,0.03258
kodim01.png,ce_kmeans,32,0.02886
kodim01.png,kmeans_rgb,64,0.01472
kodim01.png,pw_lab,64,0.01804
kodim01.png,ce_kmeans,64,0.01741
kodim01.png,kmeans_rgb,128,0.00905
kodim01.png,pw_lab,128,0.01006
kodim01.png,ce_kmeans,128,0.00958
kodim01.png,kmeans_rgb,256,0.00401
kodim01.png,pw_lab,256,0.00536
kodim01.png,ce_kmeans,256,0.00543
kodim02.png,kmeans_rgb,16,0.04406
kodim02.png,pw_lab,16,0.087
kodim02.png,ce_kmeans,16,0.04977
kodim02.png,kmeans_rgb,32,0.01976
kodim02.png,pw_lab,32,0.04215
kodim02.png,ce_kmeans,32,0.02822
kodim02.png,kmeans_rgb,64,0.00905
kodim02.png,pw_lab,64,0.02412
kodim02.png,ce_kmeans,64,0.01797
kodim02.png,kmeans_rgb,128,0.0042
kodim02.png,pw_lab,128,0.01293
kodim02.png,ce_kmeans,128,0.01002
kodim02.png,kmeans_rgb,256,0.00202
kodim02.png,pw_lab,256,0.00723
kodim02.png,ce_kmeans,256,0.00577
kodim03.png,kmeans_rgb,16,0.28318
kodim03.png,pw_lab,16,0.32313
kodim03.png,ce_kmeans,16,0.29
kodim03.png,kmeans_rgb,32,0.19423
kodim03.png,pw_lab,32,0.23413
kodim03.png,ce_kmeans,32,0.21795
kodim03.png,kmeans_rgb,64,0.12265
kodim03.png,pw_lab,64,0.14812
kodim03.png,ce_kmeans,64,0.13608
kodim03.png,kmeans_rgb,128,0.05243
kodim03.png,pw_lab,128,0.08551
kodim03.png,ce_kmeans,128,0.07979
kodim03.png,kmeans_rgb,256,0.02503
kodim03.png,pw_lab,256,0.05002
kodim03.png,ce_kmeans,256,0.04681
kodim04.png,kmeans_rgb,16,0.21717
kodim04.png,pw_lab,16,0.27487
kodim04.png,ce_kmeans,16,0.2576
kodim04.png,kmeans_rgb,32,0.12212
kodim04.png,pw_lab,32,0.19156
kodim04.png,ce_kmeans,32,0.17667
kodim04.png,kmeans_rgb,64,0.06134
kodim04.png,pw_lab,64,0.1157
kodim04.png,ce_kmeans,64,0.10957
kodim04.png,kmeans_rgb,128,0.03121
kodim04.png,pw_lab,128,0.07049
kodim04.png,ce_kmeans,128,0.07019
kodim04.png,kmeans_rgb,256,0.01655
kodim04.png,pw_lab,256,0.04324
kodim04.png,ce_kmeans,256,0.04025
kodim05.png,kmeans_rgb,16,0.09852
kodim05.png,pw_lab,16,0.11557
kodim05.png,ce_kmeans,16,0.12359
kodim05.png,kmeans_rgb,32,0.05264
kodim05.png,pw_lab,32,0.08135
kodim05.png,ce_kmeans,32,0.07742
kodim05.png,kmeans_rgb,64,0.03015
kodim05.png,pw_lab,64,0.05112
kodim05.png,ce_kmeans,64,0.05081
kodim05.png,kmeans_rgb,128,0.01693
kodim05.png,pw_lab,128,0.03365
kodim05.png,ce_kmeans,128,0.03211
kodim05.png,kmeans_rgb,256,0.00956
kodim05.png,pw_lab,256,0.01988
kodim05.png,ce_kmeans,256,0.02043
kodim06.png,kmeans_rgb,16,0.10836
kodim06.png,pw_lab,16,0.13144
kodim06.png,ce_kmeans,16,0.12879
kodim06.png,kmeans_rgb,32,0.05544
kodim06.png,pw_lab,32,0.06953
kodim06.png,ce_kmeans,32,0.06697
kodim06.png,kmeans_rgb,64,0.02753
kodim06.png,pw_lab,64,0.0396
kodim06.png,ce_kmeans,64,0.03708
kodim06.png,kmeans_rgb,128,0.01288
kodim06.png,pw_lab,128,0.02153
kodim06.png,ce_kmeans,128,0.02402
kodim06.png,kmeans_rgb,256,0.0073
kodim06.png,pw_lab,256,0.0124
kodim06.png,ce_kmeans,256,0.0124
kodim07.png,kmeans_rgb,16,0.18205
kodim07.png,pw_lab,16,0.21058
kodim07.png,ce_kmeans,16,0.20872
kodim07.png,kmeans_rgb,32,0.10315
kodim07.png,pw_lab,32,0.13384
kodim07.png,ce_kmeans,32,0.12936
kodim07.png,kmeans_rgb,64,0.0518
kodim07.png,pw_lab,64,0.07971
kodim07.png,ce_kmeans,64,0.08156
kodim07.png,kmeans_rgb,128,0.02581
kodim07.png,pw_lab,128,0.04831
kodim07.png,ce_kmeans,128,0.04418
kodim07.png,kmeans_rgb,256,0.01365
kodim07.png,pw_lab,256,0.02969
kodim07.png,ce_kmeans,256,0.02915
kodim08.png,kmeans_rgb,16,0.06538
kodim08.png,pw_lab,16,0.08022
kodim08.png,ce_kmeans,16,0.08697
kodim08.png,kmeans_rgb,32,0.03522
kodim08.png,pw_lab,32,0.04745
kodim08.png,ce_kmeans,32,0.04995
kodim08.png,kmeans_rgb,64,0.01825
kodim08.png,pw_lab,64,0.02555
kodim08.png,ce_kmeans,64,0.02867
kodim08.png,kmeans_rgb,128,0.01016
kodim08.png,pw_lab,128,0.01171
kodim08.png,ce_kmeans,128,0.01567
kodim08.png,kmeans_rgb,256,0.00536
kodim08.png,pw_lab,256,0.00673
kodim08.png,ce_kmeans,256,0.00841
kodim09.png,kmeans_rgb,16,0.19657
kodim09.png,pw_lab,16,0.18877
kodim09.png,ce_kmeans,16,0.22077
kodim09.png,kmeans_rgb,32,0.07736
kodim09.png,pw_lab,32,0.09854
kodim09.png,ce_kmeans,32,0.10317
kodim09.png,kmeans_rgb,64,0.03487
kodim09.png,pw_lab,64,0.05852
kodim09.png,ce_kmeans,64,0.05805
kodim09.png,kmeans_rgb,128,0.01838
kodim09.png,pw_lab,128,0.03084
kodim09.png,ce_kmeans,128,0.0356
kodim09.png,kmeans_rgb,256,0.0102
kodim09.png,pw_lab,256,0.01922
kodim09.png,ce_kmeans,256,0.01975
kodim10.png,kmeans_rgb,16,0.15517
kodim10.png,pw_lab,16,0.18556
kodim10.png,ce_kmeans,16,0.19849
kodim10.png,kmeans_rgb,32,0.08619
kodim10.png,pw_lab,32,0.13268
kodim10.png,ce_kmeans,32,0.12307
kodim10.png,kmeans_rgb,64,0.04144
kodim10.png,pw_lab,64,0.06704
kodim10.png,ce_kmeans,64,0.07066
kodim10.png,kmeans_rgb,128,0.01879
kodim10.png,pw_lab,128,0.03831
kodim10.png,ce_kmeans,128,0.03739
kodim10.png,kmeans_rgb,256,0.00973
kodim10.png,pw_lab,256,0.02148
kodim10.png,ce_kmeans,256,0.02266
kodim11.png,kmeans_rgb,16,0.1086
kodim11.png,pw_lab,16,0.11868
kodim11.png,ce_kmeans,16,0.13547
kodim11.png,kmeans_rgb,32,0.05744
kodim11.png,pw_lab,32,0.06757
kodim11.png,ce_kmeans,32,0.07005
kodim11.png,kmeans_rgb,64,0.02935
kodim11.png,pw_lab,64,0.04013
kodim11.png,ce_kmeans,64,0.03921
kodim11.png,kmeans_rgb,128,0.01606
kodim11.png,pw_lab,128,0.02367
kodim11.png,ce_kmeans,128,0.02604
kodim11.png,kmeans_rgb,256,0.00933
kodim11.png,pw_lab,256,0.01397
kodim11.png,ce_kmeans,256,0.01484
kodim12.png,kmeans_rgb,16,0.1646
kodim12.png,pw_lab,16,0.18953
kodim12.png,ce_kmeans,16,0.18229
kodim12.png,kmeans_rgb,32,0.09229
kodim12.png,pw_lab,32,0.11443
kodim12.png,ce_kmeans,32,0.10856
kodim12.png,kmeans_rgb,64,0.04412
kodim12.png,pw_lab,64,0.06547
kodim12.png,ce_kmeans,64,0.06466
kodim12.png,kmeans_rgb,128,0.02092
kodim12.png,pw_lab,128,0.03821
kodim12.png,ce_kmeans,128,0.03629
kodim12.png,kmeans_rgb,256,0.01051
kodim12.png,pw_lab,256,0.02135
kodim12.png,ce_kmeans,256,0.01894
kodim13.png,kmeans_rgb,16,0.12254
kodim13.png,pw_lab,16,0.11472
kodim13.png,ce_kmeans,16,0.11954
kodim13.png,kmeans_rgb,32,0.05899
kodim13.png,pw_lab,32,0.06602
kodim13.png,ce_kmeans,32,0.06818
kodim13.png,kmeans_rgb,64,0.03324
kodim13.png,pw_lab,64,0.03899
kodim13.png,ce_kmeans,64,0.04369
kodim13.png,kmeans_rgb,128,0.02112
kodim13.png,pw_lab,128,0.02242
kodim13.png,ce_kmeans,128,0.0263
kodim13.png,kmeans_rgb,256,0.01179
kodim13.png,pw_lab,256,0.01261
kodim13.png,ce_kmeans,256,0.01363
kodim14.png,kmeans_rgb,16,0.12753
kodim14.png,pw_lab,16,0.1576
kodim14.png,ce_kmeans,16,0.1519
kodim14.png,kmeans_rgb,32,0.07483
kodim14.png,pw_lab,32,0.08577
kodim14.png,ce_kmeans,32,0.08733
kodim14.png,kmeans_rgb,64,0.04239
kodim14.png,pw_lab,64,0.04921
kodim14.png,ce_kmeans,64,0.05084
kodim14.png,kmeans_rgb,128,0.02275
kodim14.png,pw_lab,128,0.02723
kodim14.png,ce_kmeans,128,0.02769
kodim14.png,kmeans_rgb,256,0.01169
kodim14.png,pw_lab,256,0.01516
kodim14.png,ce_kmeans,256,0.01578
kodim15.png,kmeans_rgb,16,0.23402
kodim15.png,pw_lab,16,0.26511
kodim15.png,ce_kmeans,16,0.25538
kodim15.png,kmeans_rgb,32,0.12531
kodim15.png,pw_lab,32,0.17075
kodim15.png,ce_kmeans,32,0.17901
kodim15.png,kmeans_rgb,64,0.06543
kodim15.png,pw_lab,64,0.10698
kodim15.png,ce_kmeans,64,0.10044
kodim15.png,kmeans_rgb,128,0.03157
kodim15.png,pw_lab,128,0.05464
kodim15.png,ce_kmeans,128,0.05712
kodim15.png,kmeans_rgb,256,0.01294
kodim15.png,pw_lab,256,0.02882
kodim15.png,ce_kmeans,256,0.02977
kodim16.png,kmeans_rgb,16,0.15422
kodim16.png,pw_lab,16,0.16642
kodim16.png,ce_kmeans,16,0.1634
kodim16.png,kmeans_rgb,32,0.07791
kodim16.png,pw_lab,32,0.09056
kodim16.png,ce_kmeans,32,0.09305
kodim16.png,kmeans_rgb,64,0.03786
kodim16.png,pw_lab,64,0.0495
kodim16.png,ce_kmeans,64,0.05562
kodim16.png,kmeans_rgb,128,0.02135
kodim16.png,pw_lab,128,0.0303
kodim16.png,ce_kmeans,128,0.03187
kodim16.png,kmeans_rgb,256,0.01003
kodim16.png,pw_lab,256,0.01611
kodim16.png,ce_kmeans,256,0.01645
kodim17.png,kmeans_rgb,16,0.17808
kodim17.png,pw_lab,16,0.18981
kodim17.png,ce_kmeans,16,0.20528
kodim17.png,kmeans_rgb,32,0.07499
kodim17.png,pw_lab,32,0.10466
kodim17.png,ce_kmeans,32,0.12294
kodim17.png,kmeans_rgb,64,0.03872
kodim17.png,pw_lab,64,0.05721
kodim17.png,ce_kmeans,64,0.07305
kodim17.png,kmeans_rgb,128,0.02022
kodim17.png,pw_lab,128,0.03373
kodim17.png,ce_kmeans,128,0.04525
kodim17.png,kmeans_rgb,256,0.01038
kodim17.png,pw_lab,256,0.0191
kodim17.png,ce_kmeans,256,0.02686
kodim18.png,kmeans_rgb,16,0.14088
kodim18.png,pw_lab,16,0.17416
kodim18.png,ce_kmeans,16,0.2069
kodim18.png,kmeans_rgb,32,0.07368
kodim18.png,pw_lab,32,0.09961
kodim18.png,ce_kmeans,32,0.12092
kodim18.png,kmeans_rgb,64,0.03875
kodim18.png,pw_lab,64,0.05843
kodim18.png,ce_kmeans,64,0.0668
kodim18.png,kmeans_rgb,128,0.02102
kodim18.png,pw_lab,128,0.03292
kodim18.png,ce_kmeans,128,0.03716
kodim18.png,kmeans_rgb,256,0.0123
kodim18.png,pw_lab,256,0.01952
kodim18.png,ce_kmeans,256,0.02214
kodim19.png,kmeans_rgb,16,0.17654
kodim19.png,pw_lab,16,0.1926
kodim19.png,ce_kmeans,16,0.1967
kodim19.png,kmeans_rgb,32,0.08539
kodim19.png,pw_lab,32,0.08025
kodim19.png,ce_kmeans,32,0.08138
kodim19.png,kmeans_rgb,64,0.0424
kodim19.png,pw_lab,64,0.04744
kodim19.png,ce_kmeans,64,0.04946
kodim19.png,kmeans_rgb,128,0.02349
kodim19.png,pw_lab,128,0.02874
kodim19.png,ce_kmeans,128,0.03068
kodim19.png,kmeans_rgb,256,0.01272
kodim19.png,pw_lab,256,0.0154
kodim19.png,ce_kmeans,256,0.01707
kodim20.png,kmeans_rgb,16,0.14087
kodim20.png,pw_lab,16,0.13225
kodim20.png,ce_kmeans,16,0.11442
kodim20.png,kmeans_rgb,32,0.04679
kodim20.png,pw_lab,32,0.06252
kodim20.png,ce_kmeans,32,0.06347
kodim20.png,kmeans_rgb,64,0.02434
kodim20.png,pw_lab,64,0.04268
kodim20.png,ce_kmeans,64,0.0443
kodim20.png,kmeans_rgb,128,0.01302
kodim20.png,pw_lab,128,0.02433
kodim20.png,ce_kmeans,128,0.02422
kodim20.png,kmeans_rgb,256,0.00594
kodim20.png,pw_lab,256,0.01171
kodim20.png,ce_kmeans,256,0.01327
kodim21.png,kmeans_rgb,16,0.17898
kodim21.png,pw_lab,16,0.16721
kodim21.png,ce_kmeans,16,0.16308
kodim21.png,kmeans_rgb,32,0.09738
kodim21.png,pw_lab,32,0.10171
kodim21.png,ce_kmeans,32,0.08824
kodim21.png,kmeans_rgb,64,0.04852
kodim21.png,pw_lab,64,0.05166
kodim21.png,ce_kmeans,64,0.05129
kodim21.png,kmeans_rgb,128,0.02382
kodim21.png,pw_lab,128,0.02753
kodim21.png,ce_kmeans,128,0.02772
kodim21.png,kmeans_rgb,256,0.01342
kodim21.png,pw_lab,256,0.01619
kodim21.png,ce_kmeans,256,0.01725
kodim22.png,kmeans_rgb,16,0.17359
kodim22.png,pw_lab,16,0.23251
kodim22.png,ce_kmeans,16,0.21766
kodim22.png,kmeans_rgb,32,0.10626
kodim22.png,pw_lab,32,0.16945
kodim22.png,ce_kmeans,32,0.14532
kodim22.png,kmeans_rgb,64,0.05595
kodim22.png,pw_lab,64,0.101
kodim22.png,ce_kmeans,64,0.09168
kodim22.png,kmeans_rgb,128,0.03151
kodim22.png,pw_lab,128,0.05454
kodim22.png,ce_kmeans,128,0.05186
kodim22.png,kmeans_rgb,256,0.01654
kodim22.png,pw_lab,256,0.03392
kodim22.png,ce_kmeans,256,0.02892
