image,k,space,vifp,psnr,ssim,dE00
adirondack_chairs,4,luv,0.119230,13.069960,0.366048,19.114746
adirondack_chairs,4,rgb,0.216590,17.195293,0.571322,17.657647
adirondack_chairs,4,xyz,0.192278,15.252169,0.506708,19.268433
adirondack_chairs,16,luv,0.273300,20.928022,0.664848,8.358550
adirondack_chairs,16,rgb,0.351492,22.812427,0.768678,9.266174
adirondack_chairs,16,xyz,0.306234,19.868414,0.679416,12.284262
adirondack_chairs,64,luv,0.422026,25.732483,0.819425,4.490476
adirondack_chairs,64,rgb,0.506027,28.535619,0.891162,4.650971
adirondack_chairs,64,xyz,0.430333,24.314783,0.799604,7.790760
adirondack_chairs,256,luv,0.558739,30.091095,0.903894,2.649819
adirondack_chairs,256,rgb,0.646589,33.433964,0.955078,2.675387
adirondack_chairs,256,xyz,0.559998,28.709604,0.881970,4.701621
astro_bodies,4,luv,0.237618,17.954614,0.468454,8.755046
astro_bodies,4,rgb,0.285072,19.696248,0.551601,7.867047
astro_bodies,4,xyz,0.232721,16.579310,0.459521,13.998051
astro_bodies,16,luv,0.394708,24.821122,0.731803,3.694307
astro_bodies,16,rgb,0.486301,27.540569,0.855977,3.708663
astro_bodies,16,xyz,0.436755,24.153263,0.610135,5.101316
astro_bodies,64,luv,0.558271,30.725296,0.890014,1.821562
astro_bodies,64,rgb,0.640478,33.777543,0.928482,1.796181
astro_bodies,64,xyz,0.620335,30.014033,0.880590,2.370036
astro_bodies,256,luv,0.736092,36.712437,0.957030,0.880137
astro_bodies,256,rgb,0.801531,39.748958,0.975998,0.901660
astro_bodies,256,xyz,0.758100,34.846960,0.957639,1.295905
astronaut,4,luv,0.179540,21.066343,0.705330,6.401041
astronaut,4,rgb,0.237395,22.536259,0.724203,6.141760
astronaut,4,xyz,0.236095,20.299079,0.664559,8.278197
astronaut,16,luv,0.397594,28.379435,0.826322,2.857766
astronaut,16,rgb,0.446149,30.234430,0.849051,2.891023
astronaut,16,xyz,0.471163,27.405522,0.837748,3.706018
astronaut,64,luv,0.600631,34.307574,0.929929,1.494815
astronaut,64,rgb,0.705177,36.890049,0.957338,1.544850
astronaut,64,xyz,0.684055,33.700814,0.941295,2.089860
astronaut,256,luv,0.761104,39.201919,0.974148,0.897562
astronaut,256,rgb,0.845533,42.454769,0.988234,0.931120
astronaut,256,xyz,0.812216,38.361395,0.976916,1.289358
balinese_dancer,4,luv,0.189292,21.357515,0.492479,7.058203
balinese_dancer,4,rgb,0.222676,22.449083,0.722417,5.942464
balinese_dancer,4,xyz,0.207671,19.708274,0.445638,11.710175
balinese_dancer,16,luv,0.289760,25.130343,0.826048,3.485579
balinese_dancer,16,rgb,0.367857,28.428750,0.870130,3.415931
balinese_dancer,16,xyz,0.331139,24.686655,0.692485,5.243928
balinese_dancer,64,luv,0.421714,30.037194,0.888797,2.131613
balinese_dancer,64,rgb,0.514030,33.471087,0.930210,2.156997
balinese_dancer,64,xyz,0.443353,29.475593,0.883590,3.216934
balinese_dancer,256,luv,0.551821,34.185210,0.938993,1.438426
balinese_dancer,256,rgb,0.664110,37.995481,0.974428,1.229613
balinese_dancer,256,xyz,0.557861,33.594132,0.921206,2.039337
ball_caps,4,luv,0.114606,19.526167,0.715427,8.781310
ball_caps,4,rgb,0.188862,20.967730,0.771470,10.502317
ball_caps,4,xyz,0.207585,19.654705,0.756194,10.953058
ball_caps,16,luv,0.235291,26.045562,0.786659,4.097676
ball_caps,16,rgb,0.317906,27.996774,0.835598,4.696314
ball_caps,16,xyz,0.317869,25.933551,0.810994,5.318161
ball_caps,64,luv,0.396616,31.532904,0.876665,2.126385
ball_caps,64,rgb,0.525932,34.279946,0.919602,2.159817
ball_caps,64,xyz,0.525368,31.226343,0.908431,3.100403
ball_caps,256,luv,0.584873,36.376590,0.941127,1.197538
ball_caps,256,rgb,0.710897,39.943987,0.969907,1.313032
ball_caps,256,xyz,0.690681,36.998549,0.959075,1.685510
birthday_baloons,4,luv,0.079732,16.463454,0.774950,11.550163
birthday_baloons,4,rgb,0.112457,16.374944,0.780574,11.406289
birthday_baloons,4,xyz,0.113200,15.334156,0.761455,13.347514
birthday_baloons,16,luv,0.200673,22.773175,0.827349,3.971135
birthday_baloons,16,rgb,0.249679,25.646859,0.861220,3.785189
birthday_baloons,16,xyz,0.235050,22.315497,0.812749,4.799945
birthday_baloons,64,luv,0.340875,28.617121,0.869309,1.811432
birthday_baloons,64,rgb,0.405110,31.912529,0.911007,1.817859
birthday_baloons,64,xyz,0.386279,28.139501,0.870001,2.248715
birthday_baloons,256,luv,0.495846,33.817314,0.919871,0.921306
birthday_baloons,256,rgb,0.574537,37.446581,0.951485,0.997334
birthday_baloons,256,xyz,0.534974,33.266285,0.924597,1.214729
bosnian_pine_needle,4,luv,0.192881,17.167353,0.684712,10.036483
bosnian_pine_needle,4,rgb,0.208531,19.705232,0.719041,8.857986
bosnian_pine_needle,4,xyz,0.148240,18.063974,0.620523,9.983667
bosnian_pine_needle,16,luv,0.310915,22.416249,0.810031,4.806824
bosnian_pine_needle,16,rgb,0.388190,25.658358,0.885137,4.621418
bosnian_pine_needle,16,xyz,0.308072,22.865343,0.816267,6.363215
bosnian_pine_needle,64,luv,0.434409,26.781807,0.898288,2.852035
bosnian_pine_needle,64,rgb,0.530294,30.262478,0.946651,2.929569
