image,k,space,vif
adirondack_chairs,4,luv,0.119230
adirondack_chairs,4,rgb,0.216590
adirondack_chairs,4,xyz,0.192278
adirondack_chairs,16,luv,0.273300
adirondack_chairs,16,rgb,0.351492
adirondack_chairs,16,xyz,0.306234
adirondack_chairs,64,luv,0.422026
adirondack_chairs,64,rgb,0.506027
adirondack_chairs,64,xyz,0.430333
adirondack_chairs,256,luv,0.558739
adirondack_chairs,256,rgb,0.646589
adirondack_chairs,256,xyz,0.559998
astro_bodies,4,luv,0.237618
astro_bodies,4,rgb,0.285072
astro_bodies,4,xyz,0.232721
astro_bodies,16,luv,0.394708
astro_bodies,16,rgb,0.486301
astro_bodies,16,xyz,0.436755
astro_bodies,64,luv,0.558271
astro_bodies,64,rgb,0.640478
astro_bodies,64,xyz,0.620335
astro_bodies,256,luv,0.736092
astro_bodies,256,rgb,0.801531
astro_bodies,256,xyz,0.758100
astronaut,4,luv,0.179540
astronaut,4,rgb,0.237395
astronaut,4,xyz,0.236095
astronaut,16,luv,0.397594
astronaut,16,rgb,0.446149
astronaut,16,xyz,0.471163
astronaut,64,luv,0.600631
astronaut,64,rgb,0.705177
astronaut,64,xyz,0.684055
astronaut,256,luv,0.761104
astronaut,256,rgb,0.845533
astronaut,256,xyz,0.812216
balinese_dancer,4,luv,0.189292
balinese_dancer,4,rgb,0.222676
balinese_dancer,4,xyz,0.207671
balinese_dancer,16,luv,0.289760
balinese_dancer,16,rgb,0.367857
balinese_dancer,16,xyz,0.331139
balinese_dancer,64,luv,0.421714
balinese_dancer,64,rgb,0.514030
balinese_dancer,64,xyz,0.443353
balinese_dancer,256,luv,0.551821
balinese_dancer,256,rgb,0.664110
balinese_dancer,256,xyz,0.557861
ball_caps,4,luv,0.114606
ball_caps,4,rgb,0.188862
ball_caps,4,xyz,0.207585
ball_caps,16,luv,0.235291
ball_caps,16,rgb,0.317906
ball_caps,16,xyz,0.317869
ball_caps,64,luv,0.396616
ball_caps,64,rgb,0.525932
ball_caps,64,xyz,0.525368
ball_caps,256,luv,0.584873
ball_caps,256,rgb,0.710897
ball_caps,256,xyz,0.690681
birthday_baloons,4,luv,0.079732
birthday_baloons,4,rgb,0.112457
birthday_baloons,4,xyz,0.113200
birthday_baloons,16,luv,0.200673
birthday_baloons,16,rgb,0.249679
birthday_baloons,16,xyz,0.235050
birthday_baloons,64,luv,0.340875
birthday_baloons,64,rgb,0.405110
birthday_baloons,64,xyz,0.386279
birthday_baloons,256,luv,0.495846
birthday_baloons,256,rgb,0.574537
birthday_baloons,256,xyz,0.534974
bosnian_pine_needle,4,luv,0.192881
bosnian_pine_needle,4,rgb,0.208531
bosnian_pine_needle,4,xyz,0.148240
bosnian_pine_needle,16,luv,0.310915
bosnian_pine_needle,16,rgb,0.388190
bosnian_pine_needle,16,xyz,0.308072
bosnian_pine_needle,64,luv,0.434409
bosnian_pine_needle,64,rgb,0.530294
bosnian_pine_needle,64,xyz,0.448553
bosnian_pine_needle,256,luv,0.548685
bosnian_pine_needle,256,rgb,0.650086
bosnian_pine_needle,256,xyz,0.551285
buggy,4,luv,0.147118
buggy,4,rgb,0.188550
buggy,4,xyz,0.144436
buggy,16,luv,0.339650
buggy,16,rgb,0.388246
buggy,16,xyz,0.304371
buggy,64,luv,0.506093
buggy,64,rgb,0.600076
buggy,64,xyz,0.549503
buggy,256,luv,0.648188
buggy,256,rgb,0.739272
buggy,256,xyz,0.697771
calaveras,4,luv,0.130679
calaveras,4,rgb,0.174657
calaveras,4,xyz,0.142430
calaveras,16,luv,0.246714
calaveras,16,rgb,0.310096
calaveras,16,xyz,0.239175
calaveras,64,luv,0.367002
calaveras,64,rgb,0.455278
calaveras,64,xyz,0.370428
calaveras,256,luv,0.501128
calaveras,256,rgb,0.601723
calaveras,256,xyz,0.481574
carrots,4,luv,0.218173
carrots,4,rgb,0.317316
carrots,4,xyz,0.274397
carrots,16,luv,0.371836
carrots,16,rgb,0.492881
carrots,16,xyz,0.443007
carrots,64,luv,0.519158
carrots,64,rgb,0.632589
carrots,64,xyz,0.580667
carrots,256,luv,0.647578
carrots,256,rgb,0.747741
carrots,256,xyz,0.683086
chalk_pastels,4,luv,0.065328
chalk_pastels,4,rgb,0.209558
chalk_pastels,4,xyz,0.151985
chalk_pastels,16,luv,0.272825
chalk_pastels,16,rgb,0.380897
chalk_pastels,16,xyz,0.393062
chalk_pastels,64,luv,0.461845
chalk_pastels,64,rgb,0.553012
chalk_pastels,64,xyz,0.531747
chalk_pastels,256,luv,0.619592
chalk_pastels,256,rgb,0.717335
chalk_pastels,256,xyz,0.678259
chicken_dish,4,luv,0.127970
chicken_dish,4,rgb,0.232618
chicken_dish,4,xyz,0.229248
chicken_dish,16,luv,0.267390
chicken_dish,16,rgb,0.348181
chicken_dish,16,xyz,0.362328
chicken_dish,64,luv,0.397738
chicken_dish,64,rgb,0.510848
chicken_dish,64,xyz,0.458915
chicken_dish,256,luv,0.529184
chicken_dish,256,rgb,0.653009
chicken_dish,256,xyz,0.564167
chili_peppers,4,luv,0.129092
chili_peppers,4,rgb,0.161177
chili_peppers,4,xyz,0.182775
chili_peppers,16,luv,0.221117
chili_peppers,16,rgb,0.322897
chili_peppers,16,xyz,0.276566
chili_peppers,64,luv,0.360944
chili_peppers,64,rgb,0.466125
chili_peppers,64,xyz,0.387282
chili_peppers,256,luv,0.498449
chili_peppers,256,rgb,0.615652
chili_peppers,256,xyz,0.522983
clownfish,4,luv,0.143894
clownfish,4,rgb,0.215194
clownfish,4,xyz,0.195628
clownfish,16,luv,0.250003
clownfish,16,rgb,0.365916
clownfish,16,xyz,0.351022
clownfish,64,luv,0.383985
clownfish,64,rgb,0.506114
clownfish,64,xyz,0.476174
clownfish,256,luv,0.520082
clownfish,256,rgb,0.633026
clownfish,256,xyz,0.590292
color_chart,4,luv,0.070911
color_chart,4,rgb,0.192451
color_chart,4,xyz,0.230521
color_chart,16,luv,0.244214
