image,k,space,vifp,psnr,ssim,dE00,lpips_alex,lpips_vgg
adirondack_chairs,4,luv,0.119230,13.069960,0.366048,19.114746,0.455563,0.591981
adirondack_chairs,4,rgb,0.216590,17.195293,0.571322,17.657647,0.375291,0.537831
adirondack_chairs,4,xyz,0.192278,15.252169,0.506708,19.268433,0.432666,0.581143
adirondack_chairs,16,luv,0.273300,20.928022,0.664848,8.358550,0.188921,0.339989
adirondack_chairs,16,rgb,0.351492,22.812427,0.768678,9.266174,0.142565,0.286699
adirondack_chairs,16,xyz,0.306234,19.868414,0.679416,12.284262,0.224257,0.367845
adirondack_chairs,64,luv,0.422026,25.732483,0.819425,4.490476,0.074851,0.179474
adirondack_chairs,64,rgb,0.506027,28.535619,0.891162,4.650971,0.045350,0.133276
adirondack_chairs,64,xyz,0.430333,24.314783,0.799604,7.790760,0.098007,0.204932
adirondack_chairs,256,luv,0.558739,30.091095,0.903894,2.649819,0.031971,0.095204
adirondack_chairs,256,rgb,0.646589,33.433964,0.955078,2.675387,0.014313,0.061673
adirondack_chairs,256,xyz,0.559998,28.709604,0.881970,4.701621,0.041910,0.099953
astro_bodies,4,luv,0.237618,17.954614,0.468454,8.755046,0.282998,0.411555
astro_bodies,4,rgb,0.285072,19.696248,0.551601,7.867047,0.276728,0.384332
astro_bodies,4,xyz,0.232721,16.579310,0.459521,13.998051,0.349110,0.499889
astro_bodies,16,luv,0.394708,24.821122,0.731803,3.694307,0.124202,0.262650
astro_bodies,16,rgb,0.486301,27.540569,0.855977,3.708663,0.112309,0.253304
astro_bodies,16,xyz,0.436755,24.153263,0.610135,5.101316,0.135581,0.282282
astro_bodies,64,luv,0.558271,30.725296,0.890014,1.821562,0.061611,0.176554
astro_bodies,64,rgb,0.640478,33.777543,0.928482,1.796181,0.044193,0.150790
astro_bodies,64,xyz,0.620335,30.014033,0.880590,2.370036,0.050930,0.147253
astro_bodies,256,luv,0.736092,36.712437,0.957030,0.880137,0.022401,0.096128
astro_bodies,256,rgb,0.801531,39.748958,0.975998,0.901660,0.012967,0.068319
