image,method,n_colors,psnr,ssim,dE00,lpips
kodim01.png,kmeans_rgb,16,32.842,0.9433,3.017,0.04054
kodim01.png,pw_lab,16,31.259,0.9227,2.916,0.04906
kodim01.png,kmeans_rgb,32,35.894,0.9708,2.467,0.02453
kodim01.png,pw_lab,32,33.181,0.9446,2.327,0.03258
kodim01.png,kmeans_rgb,64,38.222,0.9807,2.076,0.01472
kodim01.png,pw_lab,64,35.09,0.9619,1.87,0.01804
kodim01.png,kmeans_rgb,128,40.495,0.988,1.752,0.00905
kodim01.png,pw_lab,128,37.584,0.9749,1.49,0.01006
kodim01.png,kmeans_rgb,256,42.598,0.9924,1.4,0.00401
kodim01.png,pw_lab,256,39.495,0.9839,1.181,0.00536
kodim02.png,kmeans_rgb,16,34.066,0.9156,1.577,0.04406
kodim02.png,pw_lab,16,28.395,0.8844,1.928,0.087
kodim02.png,kmeans_rgb,32,37.174,0.949,1.158,0.01976
kodim02.png,pw_lab,32,33.107,0.9279,1.317,0.04215
kodim02.png,kmeans_rgb,64,40.035,0.9734,0.877,0.00905
kodim02.png,pw_lab,64,35.568,0.9532,1.05,0.02412
kodim02.png,kmeans_rgb,128,42.669,0.985,0.691,0.0042
kodim02.png,pw_lab,128,38.041,0.972,0.784,0.01293
kodim02.png,kmeans_rgb,256,45.11,0.9917,0.54,0.00202
kodim02.png,pw_lab,256,40.168,0.9833,0.62,0.00723
kodim03.png,kmeans_rgb,16,28.118,0.8363,4.575,0.28318
kodim03.png,pw_lab,16,25.087,0.7772,4.482,0.32313
kodim03.png,kmeans_rgb,32,31.058,0.879,3.035,0.19423
kodim03.png,pw_lab,32,28.387,0.8402,2.943,0.23413
kodim03.png,kmeans_rgb,64,34.312,0.9177,2.203,0.12265
kodim03.png,pw_lab,64,31.136,0.8865,2.153,0.14812
kodim03.png,kmeans_rgb,128,37.194,0.9504,1.669,0.05243
kodim03.png,pw_lab,128,33.535,0.9215,1.593,0.08551
kodim03.png,kmeans_rgb,256,39.818,0.9694,1.349,0.02503
kodim03.png,pw_lab,256,35.929,0.9477,1.21,0.05002
kodim04.png,kmeans_rgb,16,29.228,0.8244,4.436,0.21717
kodim04.png,pw_lab,16,27.629,0.762,3.891,0.27487
kodim04.png,kmeans_rgb,32,32.395,0.8904,3.082,0.12212
kodim04.png,pw_lab,32,30.115,0.8362,2.861,0.19156
kodim04.png,kmeans_rgb,64,35.051,0.9366,2.47,0.06134
kodim04.png,pw_lab,64,32.727,0.8903,2.175,0.1157
kodim04.png,kmeans_rgb,128,37.674,0.9575,1.925,0.03121
kodim04.png,pw_lab,128,35.07,0.9264,1.702,0.07049
kodim04.png,kmeans_rgb,256,40.082,0.9735,1.501,0.01655
kodim04.png,pw_lab,256,37.035,0.9495,1.347,0.04324
kodim05.png,kmeans_rgb,16,27.302,0.8756,6.147,0.09852
kodim05.png,pw_lab,16,25.467,0.8312,5.274,0.11557
kodim05.png,kmeans_rgb,32,30.086,0.9268,4.833,0.05264
kodim05.png,pw_lab,32,27.632,0.8734,4.118,0.08135
kodim05.png,kmeans_rgb,64,32.63,0.9519,3.695,0.03015
kodim05.png,pw_lab,64,29.972,0.9161,3.218,0.05112
kodim05.png,kmeans_rgb,128,34.961,0.9681,3.052,0.01693
kodim05.png,pw_lab,128,31.721,0.943,2.585,0.03365
kodim05.png,kmeans_rgb,256,37.125,0.9799,2.529,0.00956
kodim05.png,pw_lab,256,33.737,0.9616,2.076,0.01988
kodim06.png,kmeans_rgb,16,31.119,0.9133,3.498,0.10836
kodim06.png,pw_lab,16,29.852,0.8798,3.222,0.13144
kodim06.png,kmeans_rgb,32,34.206,0.9452,2.649,0.05544
kodim06.png,pw_lab,32,32.586,0.9238,2.446,0.06953
kodim06.png,kmeans_rgb,64,36.87,0.9657,2.08,0.02753
kodim06.png,pw_lab,64,34.479,0.9472,1.927,0.0396
kodim06.png,kmeans_rgb,128,39.196,0.9784,1.689,0.01288
kodim06.png,pw_lab,128,36.559,0.9644,1.529,0.02153
kodim06.png,kmeans_rgb,256,41.314,0.9862,1.377,0.0073
kodim06.png,pw_lab,256,38.214,0.9756,1.238,0.0124
kodim07.png,kmeans_rgb,16,30.044,0.8852,3.975,0.18205
kodim07.png,pw_lab,16,28.424,0.8512,3.614,0.21058
kodim07.png,kmeans_rgb,32,33.032,0.9259,2.986,0.10315
kodim07.png,pw_lab,32,30.889,0.893,2.699,0.13384
kodim07.png,kmeans_rgb,64,35.702,0.9533,2.231,0.0518
kodim07.png,pw_lab,64,32.949,0.9259,2.033,0.07971
kodim07.png,kmeans_rgb,128,38.259,0.9709,1.778,0.02581
kodim07.png,pw_lab,128,34.924,0.9482,1.597,0.04831
kodim07.png,kmeans_rgb,256,40.487,0.9814,1.458,0.01365
kodim07.png,pw_lab,256,36.714,0.965,1.276,0.02969
kodim08.png,kmeans_rgb,16,29.005,0.912,5.667,0.06538
kodim08.png,pw_lab,16,27.02,0.8769,4.958,0.08022
kodim08.png,kmeans_rgb,32,31.749,0.9421,4.533,0.03522
kodim08.png,pw_lab,32,29.626,0.911,3.741,0.04745
kodim08.png,kmeans_rgb,64,34.428,0.9667,3.586,0.01825
kodim08.png,pw_lab,64,32.0,0.9396,2.936,0.02555
kodim08.png,kmeans_rgb,128,36.759,0.9789,2.881,0.01016
kodim08.png,pw_lab,128,34.434,0.9617,2.302,0.01171
kodim08.png,kmeans_rgb,256,38.948,0.9867,2.304,0.00536
kodim08.png,pw_lab,256,36.373,0.976,1.854,0.00673
kodim09.png,kmeans_rgb,16,31.571,0.8932,3.034,0.19657
kodim09.png,pw_lab,16,30.149,0.8817,2.876,0.18877
