image,method,n_colors,psnr,ssim,time_ms,png_bytes
kodim01.png,pw_lab,16,31.259,0.9227,1352.5,119403
kodim01.png,pw_lab_now,16,31.029,0.9205,1335.5,118833
kodim01.png,pw_rgb_w,16,32.705,0.9432,1261.0,124032
kodim01.png,pw_lab,32,33.237,0.9444,2644.8,145733
kodim01.png,pw_lab_now,32,33.494,0.9457,2542.3,146256
kodim01.png,pw_rgb_w,32,35.373,0.9663,2289.4,167193
kodim01.png,pw_lab,64,34.977,0.9622,5360.6,186269
kodim01.png,pw_lab_now,64,34.813,0.9595,5427.5,184594
kodim01.png,pw_rgb_w,64,37.715,0.9786,5158.2,204389
kodim01.png,pw_lab,128,37.616,0.9749,9878.4,230627
kodim01.png,pw_lab_now,128,37.656,0.975,9859.7,230646
kodim01.png,pw_rgb_w,128,39.735,0.9864,9710.5,252053
kodim01.png,pw_lab,256,39.566,0.9838,20062.6,286955
kodim01.png,pw_lab_now,256,39.474,0.9836,20543.5,287114
kodim01.png,pw_rgb_w,256,41.579,0.9909,19114.7,306107
kodim02.png,pw_lab,16,31.013,0.8864,1245.5,105350
kodim02.png,pw_lab_now,16,31.237,0.8864,1145.8,105536
kodim02.png,pw_rgb_w,16,33.242,0.9184,1114.2,114856
kodim02.png,pw_lab,32,34.044,0.9287,1943.1,148272
kodim02.png,pw_lab_now,32,33.93,0.9277,2065.3,148017
kodim02.png,pw_rgb_w,32,35.312,0.9517,2042.8,163875
kodim02.png,pw_lab,64,35.768,0.9534,4408.6,195530
kodim02.png,pw_lab_now,64,35.578,0.9541,4729.5,196462
kodim02.png,pw_rgb_w,64,37.685,0.9701,4621.4,209626
kodim02.png,pw_lab,128,38.043,0.9722,8581.1,252760
kodim02.png,pw_lab_now,128,38.12,0.9722,8021.7,251008
kodim02.png,pw_rgb_w,128,39.728,0.9817,8842.5,265021
kodim02.png,pw_lab,256,40.189,0.9838,15392.8,309262
kodim02.png,pw_lab_now,256,40.192,0.9836,16396.2,307098
kodim02.png,pw_rgb_w,256,41.908,0.989,15229.2,319743
kodim03.png,pw_lab,16,25.08,0.7808,1107.2,33515
kodim03.png,pw_lab_now,16,25.084,0.7762,1196.4,33484
kodim03.png,pw_rgb_w,16,27.795,0.8479,1219.5,54104
kodim03.png,pw_lab,32,28.223,0.8406,2594.0,45690
kodim03.png,pw_lab_now,32,28.179,0.8381,2596.7,44529
kodim03.png,pw_rgb_w,32,30.103,0.877,2678.6,62425
kodim03.png,pw_lab,64,31.177,0.8851,4419.0,71660
kodim03.png,pw_lab_now,64,31.078,0.8874,4025.8,73324
kodim03.png,pw_rgb_w,64,32.882,0.9189,3989.6,86761
kodim03.png,pw_lab,128,33.856,0.924,7831.5,104715
kodim03.png,pw_lab_now,128,33.768,0.9226,8579.1,105522
kodim03.png,pw_rgb_w,128,35.803,0.9482,7362.6,121424
kodim03.png,pw_lab,256,35.81,0.9465,15739.8,144726
kodim03.png,pw_lab_now,256,35.901,0.9471,17105.6,145387
kodim03.png,pw_rgb_w,256,37.939,0.9643,16439.4,163602
kodim04.png,pw_lab,16,27.61,0.7593,1381.1,60051
kodim04.png,pw_lab_now,16,27.554,0.7592,1427.7,60139
kodim04.png,pw_rgb_w,16,29.165,0.8185,1127.7,72662
kodim04.png,pw_lab,32,30.076,0.8369,2142.1,81620
kodim04.png,pw_lab_now,32,29.999,0.8357,2272.3,81197
kodim04.png,pw_rgb_w,32,32.212,0.8957,2184.9,98925
kodim04.png,pw_lab,64,32.837,0.8903,4116.4,112229
kodim04.png,pw_lab_now,64,32.732,0.8899,4066.3,112128
kodim04.png,pw_rgb_w,64,34.633,0.9348,3943.8,136017
kodim04.png,pw_lab,128,35.042,0.9254,9069.2,153076
kodim04.png,pw_lab_now,128,35.011,0.925,7833.8,151624
kodim04.png,pw_rgb_w,128,36.869,0.956,7927.1,175537
kodim04.png,pw_lab,256,37.016,0.9487,16584.3,200472
kodim04.png,pw_lab_now,256,37.052,0.95,15452.6,202669
kodim04.png,pw_rgb_w,256,39.146,0.9724,16419.1,230368
kodim05.png,pw_lab,16,25.456,0.8321,1282.6,105688
kodim05.png,pw_lab_now,16,25.49,0.8311,1303.3,104857
kodim05.png,pw_rgb_w,16,26.977,0.8977,1228.0,121238
kodim05.png,pw_lab,32,27.631,0.8739,2216.6,123208
kodim05.png,pw_lab_now,32,27.734,0.8783,2133.1,122960
kodim05.png,pw_rgb_w,32,29.79,0.9226,2017.4,143846
kodim05.png,pw_lab,64,29.907,0.9161,4373.3,159980
kodim05.png,pw_lab_now,64,29.904,0.9165,4624.0,160692
kodim05.png,pw_rgb_w,64,32.064,0.951,4282.0,179026
kodim05.png,pw_lab,128,31.884,0.943,7667.0,205889
kodim05.png,pw_lab_now,128,31.764,0.9432,7977.1,205483
kodim05.png,pw_rgb_w,128,34.199,0.9688,8406.5,225263
kodim05.png,pw_lab,256,33.741,0.9613,15875.4,256611
kodim05.png,pw_lab_now,256,33.697,0.9612,16137.7,257507
kodim05.png,pw_rgb_w,256,36.11,0.9794,15153.2,279776
kodim06.png,pw_lab,16,29.879,0.8797,1067.0,87449
kodim06.png,pw_lab_now,16,29.716,0.8747,1142.9,86449
kodim06.png,pw_rgb_w,16,31.133,0.9172,1009.9,96596
kodim06.png,pw_lab,32,32.546,0.9238,2001.1,103634
kodim06.png,pw_lab_now,32,32.539,0.9239,2331.2,103214
kodim06.png,pw_rgb_w,32,33.881,0.9458,2166.0,118360
kodim06.png,pw_lab,64,34.457,0.9474,4609.0,135255
kodim06.png,pw_lab_now,64,34.39,0.947,3783.3,135666
kodim06.png,pw_rgb_w,64,36.447,0.9658,3626.2,156643
kodim06.png,pw_lab,128,36.554,0.9641,7354.9,177084
kodim06.png,pw_lab_now,128,36.604,0.9645,8050.8,177793
kodim06.png,pw_rgb_w,128,38.686,0.9803,8660.3,198679
kodim06.png,pw_lab,256,38.249,0.9763,14804.8,228538
kodim06.png,pw_lab_now,256,38.198,0.9756,15631.0,228380
kodim06.png,pw_rgb_w,256,40.563,0.9869,14258.3,252442
kodim07.png,pw_lab,16,28.443,0.8507,1127.6,55828
kodim07.png,pw_lab_now,16,28.353,0.851,1117.3,55675
kodim07.png,pw_rgb_w,16,29.833,0.8838,1048.6,71456
kodim07.png,pw_lab,32,30.865,0.8936,2269.4,72397
kodim07.png,pw_lab_now,32,30.962,0.8941,2288.1,75428
kodim07.png,pw_rgb_w,32,32.25,0.9289,2128.4,89030
kodim07.png,pw_lab,64,33.034,0.9264,4185.1,107346
kodim07.png,pw_lab_now,64,32.911,0.9255,4050.3,107877
kodim07.png,pw_rgb_w,64,34.987,0.952,3866.2,124600
kodim07.png,pw_lab,128,34.866,0.947,7607.7,146029
kodim07.png,pw_lab_now,128,34.911,0.9483,8536.5,146515
kodim07.png,pw_rgb_w,128,36.998,0.9693,7482.2,166118
kodim07.png,pw_lab,256,36.743,0.9655,14371.4,196136
kodim07.png,pw_lab_now,256,36.714,0.9657,15375.5,196291
kodim07.png,pw_rgb_w,256,39.079,0.9805,14356.9,217950
kodim08.png,pw_lab,16,27.002,0.8763,1227.3,92266
kodim08.png,pw_lab_now,16,27.002,0.8764,1342.3,92196
kodim08.png,pw_rgb_w,16,28.541,0.9168,1180.5,110886
kodim08.png,pw_lab,32,29.718,0.913,2272.0,118565
kodim08.png,pw_lab_now,32,29.675,0.9123,2227.8,118803
kodim08.png,pw_rgb_w,32,31.395,0.9401,1844.4,146027
kodim08.png,pw_lab,64,32.029,0.9406,3912.5,155419
kodim08.png,pw_lab_now,64,32.0,0.9407,3729.6,155559
kodim08.png,pw_rgb_w,64,34.102,0.9631,3722.2,187670
kodim08.png,pw_lab,128,34.332,0.9615,7539.6,204750
kodim08.png,pw_lab_now,128,34.366,0.9623,8547.0,205196
kodim08.png,pw_rgb_w,128,36.461,0.9796,7398.6,237999
kodim08.png,pw_lab,256,36.337,0.9759,14673.6,265461
kodim08.png,pw_lab_now,256,36.391,0.976,15382.5,265849
kodim08.png,pw_rgb_w,256,38.544,0.9867,14577.3,294149
kodim09.png,pw_lab,16,30.051,0.8722,1224.0,68341
kodim09.png,pw_lab_now,16,30.159,0.8817,1216.4,72406
kodim09.png,pw_rgb_w,16,30.689,0.9028,1137.7,81366
kodim09.png,pw_lab,32,32.115,0.9147,2148.1,99098
kodim09.png,pw_lab_now,32,32.09,0.9143,1954.7,97036
kodim09.png,pw_rgb_w,32,33.505,0.9376,1750.7,111193
kodim09.png,pw_lab,64,33.75,0.9362,3899.2,143988
kodim09.png,pw_lab_now,64,33.874,0.9378,3640.2,142746
kodim09.png,pw_rgb_w,64,35.869,0.9591,3697.2,150287
kodim09.png,pw_lab,128,36.158,0.9555,7551.7,182656
kodim09.png,pw_lab_now,128,36.072,0.9562,8153.4,183998
kodim09.png,pw_rgb_w,128,38.018,0.9707,7395.3,195866
kodim09.png,pw_lab,256,37.88,0.9686,14815.7,235738
kodim09.png,pw_lab_now,256,37.761,0.9691,14972.0,235347
kodim09.png,pw_rgb_w,256,40.069,0.9807,14827.1,252157
kodim10.png,pw_lab,16,30.146,0.8576,1354.1,69807
kodim10.png,pw_lab_now,16,30.145,0.8565,1323.2,69805
kodim10.png,pw_rgb_w,16,30.881,0.8795,1157.5,77433
kodim10.png,pw_lab,32,32.153,0.8849,2030.4,90343
kodim10.png,pw_lab_now,32,32.116,0.8862,2065.8,90226
kodim10.png,pw_rgb_w,32,33.689,0.9217,1920.8,107221
kodim10.png,pw_lab,64,34.395,0.9247,3888.0,125592
kodim10.png,pw_lab_now,64,34.432,0.9241,3856.2,123935
kodim10.png,pw_rgb_w,64,36.144,0.9481,3836.9,140261
kodim10.png,pw_lab,128,36.469,0.9469,8265.8,169786
