image,method,n_colors,psnr,ssim,time_ms,png_bytes
kodim01.png,mediancut,16,30.483,0.9388,73.0,131790
kodim01.png,maxcoverage,16,25.589,0.8107,29.4,96091
kodim01.png,fast,16,27.484,0.8576,4.9,101453
kodim01.png,kmeans,16,32.842,0.9433,2895.7,118764
kodim01.png,som,16,25.514,0.8879,290.0,133136
kodim01.png,mediancut,32,32.854,0.9601,84.4,176779
kodim01.png,maxcoverage,32,28.106,0.8637,44.2,119094
kodim01.png,fast,32,30.29,0.9182,5.9,158601
kodim01.png,kmeans,32,35.894,0.9708,469.2,164102
kodim01.png,som,32,26.037,0.9122,644.9,167137
kodim01.png,mediancut,64,34.772,0.9742,70.3,217244
kodim01.png,maxcoverage,64,31.61,0.9205,49.3,150686
kodim01.png,fast,64,33.367,0.9506,5.9,187463
kodim01.png,kmeans,64,38.222,0.9807,930.0,202103
kodim01.png,som,64,26.687,0.9277,1624.1,209728
kodim01.png,mediancut,128,36.637,0.9826,89.1,263107
kodim01.png,maxcoverage,128,33.53,0.9414,72.2,184859
kodim01.png,fast,128,36.872,0.9712,5.3,199000
kodim01.png,kmeans,128,40.495,0.988,1708.0,244705
kodim01.png,som,128,25.039,0.894,2960.8,255677
kodim01.png,mediancut,256,38.828,0.9892,97.2,313265
kodim01.png,maxcoverage,256,36.108,0.9626,93.8,221536
kodim01.png,fast,256,37.417,0.9739,5.1,201059
kodim01.png,kmeans,256,42.598,0.9924,2811.5,298852
kodim01.png,som,256,24.899,0.8926,4736.9,286580
kodim02.png,mediancut,16,27.161,0.897,55.4,139845
kodim02.png,maxcoverage,16,26.446,0.7365,32.9,49779
kodim02.png,fast,16,30.174,0.8406,5.8,49625
kodim02.png,kmeans,16,34.066,0.9156,374.4,99715
kodim02.png,som,16,24.185,0.8475,238.8,136088
kodim02.png,mediancut,32,28.876,0.9306,59.3,176538
kodim02.png,maxcoverage,32,28.495,0.7617,29.1,74532
kodim02.png,fast,32,32.817,0.9039,3.7,120278
kodim02.png,kmeans,32,37.174,0.949,536.3,136718
kodim02.png,som,32,23.958,0.8541,594.5,182387
kodim02.png,mediancut,64,33.058,0.9607,51.0,219952
kodim02.png,maxcoverage,64,32.03,0.8489,30.6,92997
kodim02.png,fast,64,36.364,0.9385,3.9,135964
kodim02.png,kmeans,64,40.035,0.9734,843.2,189644
kodim02.png,som,64,24.4,0.8623,1218.1,221673
kodim02.png,mediancut,128,36.477,0.9764,52.3,270496
kodim02.png,maxcoverage,128,34.185,0.8796,51.5,134855
kodim02.png,fast,128,37.63,0.9434,5.0,141707
kodim02.png,kmeans,128,42.669,0.985,1422.6,238478
kodim02.png,som,128,24.797,0.8779,2259.5,260353
kodim02.png,mediancut,256,39.969,0.9873,65.8,323950
kodim02.png,maxcoverage,256,36.764,0.9173,70.2,153673
kodim02.png,fast,256,37.95,0.9443,4.8,143035
kodim02.png,kmeans,256,45.11,0.9917,3187.4,301718
kodim02.png,som,256,25.696,0.8927,5297.3,269648
kodim03.png,mediancut,16,22.936,0.8183,88.5,63969
kodim03.png,maxcoverage,16,20.242,0.6521,35.7,41372
kodim03.png,fast,16,22.766,0.7502,5.5,50058
kodim03.png,kmeans,16,28.118,0.8363,238.8,45826
kodim03.png,som,16,20.99,0.7894,315.2,65911
kodim03.png,mediancut,32,25.242,0.8534,93.5,71770
kodim03.png,maxcoverage,32,22.478,0.7269,52.7,36809
kodim03.png,fast,32,26.158,0.7894,3.9,43091
kodim03.png,kmeans,32,31.058,0.879,523.8,55061
kodim03.png,som,32,20.505,0.8077,580.9,81605
kodim03.png,mediancut,64,27.613,0.8862,89.2,96809
kodim03.png,maxcoverage,64,24.867,0.729,59.7,55977
kodim03.png,fast,64,29.146,0.831,4.3,87145
kodim03.png,kmeans,64,34.312,0.9177,866.7,75690
kodim03.png,som,64,20.478,0.8136,1220.7,116828
kodim03.png,mediancut,128,30.695,0.9197,104.4,130503
kodim03.png,maxcoverage,128,28.859,0.7904,80.8,69144
kodim03.png,fast,128,32.207,0.8916,4.8,110825
kodim03.png,kmeans,128,37.194,0.9504,1489.6,109871
kodim03.png,som,128,20.576,0.8576,2252.1,166441
kodim03.png,mediancut,256,34.036,0.9501,118.9,171583
kodim03.png,maxcoverage,256,32.119,0.8611,133.9,80735
kodim03.png,fast,256,35.514,0.9309,4.1,126240
kodim03.png,kmeans,256,39.818,0.9694,2887.5,144758
kodim03.png,som,256,21.158,0.8331,4759.5,225956
kodim04.png,mediancut,16,27.364,0.8247,95.5,84092
kodim04.png,maxcoverage,16,22.299,0.6425,48.4,63137
kodim04.png,fast,16,24.723,0.7442,6.1,67982
kodim04.png,kmeans,16,29.228,0.8244,354.1,73755
kodim04.png,som,16,23.41,0.8248,311.6,85760
kodim04.png,mediancut,32,29.844,0.8786,118.3,110976
kodim04.png,maxcoverage,32,26.655,0.7434,55.2,65020
kodim04.png,fast,32,26.987,0.7646,6.1,70141
kodim04.png,kmeans,32,32.395,0.8904,635.2,94548
kodim04.png,som,32,23.439,0.8507,735.4,119824
kodim04.png,mediancut,64,32.412,0.9206,117.2,145052
kodim04.png,maxcoverage,64,29.213,0.7791,68.1,91400
kodim04.png,fast,64,29.208,0.8263,6.8,131910
kodim04.png,kmeans,64,35.051,0.9366,1066.7,131144
kodim04.png,som,64,23.042,0.8617,1461.1,171965
kodim04.png,mediancut,128,35.011,0.9473,121.1,187849
kodim04.png,maxcoverage,128,32.201,0.8497,107.3,119164
kodim04.png,fast,128,32.95,0.9046,5.2,157628
kodim04.png,kmeans,128,37.674,0.9575,1712.8,168372
kodim04.png,som,128,23.513,0.8468,2361.3,233576
kodim04.png,mediancut,256,37.246,0.965,112.3,242311
kodim04.png,maxcoverage,256,34.744,0.8989,133.1,156450
